time	rate	entropy	mz
0.0	-0.0	-0.0	0.5
0.05	0.0006888039875126848	3.2231039536761343e-9	0.49931143292062724
0.1	0.002752103910148953	1.6939789710284384e-7	0.49725166259015463
0.15	0.0061804898113361215	1.675946092542192e-6	0.49383837620064464
0.2	0.010958033563404376	8.372405034318304e-6	0.4891007037093911
0.25	0.017061925836613295	2.8745258047078114e-5	0.48307870544109005
0.3	0.02446197739294251	7.779238179319326e-5	0.4758226755758346
0.35	0.033119996825869094	0.00017851715195643574	0.467392281346859
0.4	0.042989064044974025	0.00036284000977845866	0.4578555620390643
0.45	0.05401272873605765	0.0006718092037155273	0.4472878152026441
0.5	0.06612417614013182	0.0011550727288887066	0.4357703997720619
0.55	0.07924541888187346	0.001869646339438766	0.42338948695816025
0.6	0.093286592735763	0.002878073536443382	0.4102347898618745
0.65	0.10814545470497407	0.00424611912529036	0.39639830179340035
0.7	0.12370720087020877	0.006040166283741911	0.3819730713666067
0.75	0.13984473486983937	0.008324497810141218	0.3670520397074013
0.8	0.15641951986288594	0.011158636713531506	0.35172696172632695
0.85	0.17328313087993663	0.014594902294569508	0.33608742953664006
0.9	0.19027958473578022	0.018676308969145836	0.3202200119328695
0.95	0.20724845833502983	0.023434900297477402	0.3042075195620902
1.0	0.22402871604817076	0.02889057387461893	0.2881284011899405
1.05	0.24046306331553513	0.03505041727789518	0.2720562724364604
1.1	0.25640254473180696	0.04190854374988113	0.256059574660169
1.15	0.271711032881281	0.04944639044269454	0.24020135840243084
1.2	0.2862692296331944	0.05763342272289718	0.2245391830396806
1.25	0.2999778359474082	0.06642817535432867	0.20912512207178216
1.3	0.3127596366416653	0.0757795548843779	0.19400586181738522
1.35	0.32456037553868844	0.08562832641767065	0.1792228801844337
1.4	0.3353484370951392	0.09590871112421433	0.16481269160849207
1.45	0.34511347525673863	0.10655002719218948	0.15080714415942018
1.5	0.35386421825406966	0.11747831544591064	0.13723375515218425
1.55	0.3616257203958029	0.12861790057589476	0.12411607229609613
1.6	0.36843633125305253	0.13989284909784025	0.11147404841013829
1.65	0.3743446196138566	0.15122829516587075	0.09932441895075321
1.7	0.3794064386138131	0.16255161476779614	0.08768107297498473
1.75	0.38368226144028855	0.17379343732378766	0.07655540963298448
1.8	0.3872348578247193	0.1848884911006185	0.06595667379017084
1.85	0.3901273461662455	0.19577628504984307	0.05589226587218335
1.9	0.39242161987435625	0.20640163464179662	0.046368022460200754
1.95	0.3941771212849363	0.21671504303645686	0.03738846550394973
2.0	0.3954499266347477	0.22667295150025987	0.028957019238256883
2.05	0.3962920997334804	0.23623787427837675	0.021076194964839992
2.1	0.39675127121354953	0.24537843339973586	0.013747744780609375
2.15	0.39687040280657365	0.2540693088379551	0.006972786089732126
2.2	0.3966877004289205	0.2622911192555599	0.0007518993272098857
2.25	0.39623664485096594	0.2700302469836051	-0.00491479825020395
2.3	0.39554611344524443	0.27727861806832294	-0.010027599577116499
2.35	0.3946405702174219	0.284033445107512	-0.014587172339873925
2.4	0.3935403042058956	0.29029693733454337	-0.018594537830621486
2.45	0.392261699838581	0.29607597994241386	-0.022051060960481973
2.5	0.39081752871595615	0.30138178560874573	-0.024958448515163493
2.55	0.3892172608334706	0.3062295262781091	-0.02731875303512818
2.6	0.3874674010561676	0.3106379556756021	-0.029134380063866722
2.65	0.38557185686775414	0.31462902711028257	-0.03040809691339541
2.7	0.3835323307961798	0.3182275043212842	-0.031143041527754465
2.75	0.3813487073128352	0.32146056282837354	-0.03134273046580857
2.8	0.3790193798287262	0.32435738231249844	-0.03101106545808688
2.85	0.3765414562340265	0.32694873273606245	-0.030152338404063127
2.9	0.37391080970169494	0.329266557838641	-0.028771235053120525
2.95	0.3711220113070897	0.3313435600747608	-0.02687283794322572
3.0	0.3681682734551576	0.33321279130714326	-0.024462629446821593
3.05	0.36504160283948545	0.33490725360706364	-0.021546495986433226
3.1	0.3617333524578108	0.3364595142705678	-0.018130734627917103
3.15	0.35823523615816066	0.33790133861678084	-0.014222063334141485
3.2	0.35454063808330405	0.3392633433384107	-0.009827636165249275
3.25	0.3506457913990246	0.34057467222161036	-0.004955064644622693
3.3	0.34655024502055093	0.341862695076524	0.0003875536247821959
3.35	0.3422561095022596	0.3431527298789165	0.006191598206111914
3.4	0.33776592356548285	0.34446778759022006	0.012447880301942332
3.45	0.33307953676631147	0.3458283390768196	0.019146588122395173
3.5	0.32819097093300864	0.3472521041548708	0.026277223155590404
3.55	0.3230865571464245	0.34875386414243054	0.03382852771683713
3.6	0.31774553651162146	0.3503453013340528	0.04178840453882212
3.65	0.3121436809071769	0.3520348712091822	0.05014382955566696
3.7	0.30625944918126485	0.3538277154603822	0.05888075941609577
3.75	0.3000810738281052	0.35572562558944604	0.06798403562179259
3.8	0.2936122469192965	0.35772706741568056	0.07743728751312685
3.85	0.28687416705216007	0.35982727595041664	0.08722283660287368
3.9	0.2799027317707283	0.36201842747767066	0.09732160497719035
3.95	0.2727412617734191	0.3642898914970854	0.10771303063077776
4.0	0.2654306635687164	0.366628559991136	0.11837499267034202
