energy	weight	density_proxy	mx	ipr
-7.923642704753745	0.0001068666233685599	61.868717480961685	-0.06507172687756077	0.2719781353230874
-7.907479447445111	1.514801571197082e-32	1.6071025083394759	-0.15294588619930513	0.2652530415918404
-6.679167016599614	8.114843882971391e-34	1.4624383380239852	0.0014110798243651143	0.1948898933553229
-6.539900420009085	2.964134064836385e-7	7.558345902071638	-0.21496168827436332	0.11589496511656573
-6.414558856836533	4.7484192284784635e-6	8.368510596646281	-0.2414396618260382	0.13951543953178508
-6.300909266577134	4.99892985653884e-33	3.6071363704526713	-0.012093376669499192	0.1973319026008015
-5.860102414218309	1.6305245865234954e-33	3.856173161697862	-0.26582243886321677	0.11943974035558708
-5.782260358414668	0.00012237420965511932	12.204628242991364	0.04943669574485142	0.09465981016453906
-5.696230155253885	2.95834875349129e-34	7.302339106315498	-0.2896687102572123	0.1556971539444637
-5.508375515368926	6.18151820219709e-5	6.592658141322322	0.018174160165591747	0.1243819944041014
-5.3928623850575	1.8950298164221598e-5	6.668641986320607	-0.27963310428470867	0.09081826732105404
-5.208464378423413	1.7581861737497424e-7	5.165140223497155	-0.3069752192275191	0.0997370117641798
-5.00565121295773	8.113232449825095e-35	6.772818421670806	0.048669546496849195	0.0991934016179812
-4.913166339190491	1.712280117169166e-31	20.339810359565913	-0.10012275564432979	0.03601214556240659
-4.907321879269553	2.9595497658439096e-5	13.753329307068434	-0.1048851075163942	0.03657623458164569
-4.767747004326451	1.5889288579618723e-33	6.063303173335629	0.045090670935955326	0.09827957876306807
-4.577468671731568	3.624192447925794e-8	9.191876970190645	-0.12853871650604837	0.03190298832528981
-4.550163587306617	2.94786848666974e-36	19.219530526654957	-0.08996673812437272	0.03154160783942841
-4.473407857278985	0.001136541439997001	10.831201999936061	0.06175340401909218	0.07996297626420461
-4.3655118745962636	1.106806915909617e-5	13.088733298281415	-0.2132756896280228	0.03573721898182285
-4.320604682638502	5.567216550601198e-34	21.12696246473647	-0.15302122786380465	0.04760803205616174
-4.270846112618495	0.00040423590521220334	24.546346613648794	-0.07429826604972264	0.050413171935849196
-4.2391261623731715	3.501230143499577e-5	26.027771254769732	-0.13495324205265843	0.023621641018895616
-4.19400511150383	5.586419352847834e-34	13.796005157697985	-0.29693907319954227	0.032199172568056336
-4.0941566601775286	7.217011966515109e-34	13.310303019518345	-0.08349525631841859	0.04190510092973475
-4.043745572178002	0.00039646450865019197	16.698403333864228	-0.053504665079303654	0.04571393614433922
-3.9743847298909953	8.360067861150532e-34	21.695897326976272	-0.13098403165505865	0.04786633240109242
-3.951562245078955	1.9878211091171996e-5	14.890421595625462	-0.07102470187229158	0.034842816852170375
-3.840070198421479	6.421073721313799e-34	11.49735946120411	-0.3243880545560747	0.04714294638614914
-3.7776092598958213	0.00014080218172660096	19.0878057831995	-0.18893897573102403	0.028100741311375268
-3.7352912614018905	1.93735182599929e-33	27.451457422619477	-0.08182195360960377	0.06189219702454834
-3.7047533830944666	5.65220608225417e-5	8.493179298331025	-0.22230823358382484	0.04021136098842558
-3.49980818377594	4.618835337613083e-5	9.332899086961627	-0.05052923059541686	0.05261335766256799
-3.4904576984026576	2.9259674768859e-32	28.74096284691749	-0.07122648118956502	0.05241719806682431
-3.43022109267351	4.8693896384730714e-5	20.61781760878492	-0.05646995035709358	0.036370772663694116
-3.3934542212185432	5.26802841426282e-33	27.04516461607694	-0.05840980934960821	0.031653478337622956
-3.356270720087828	1.508725873360789e-5	27.793150289873566	-0.05613808694262788	0.0325789871622787
-3.321494044731148	8.569353817494468e-36	10.680731537272951	-0.010907480597632642	0.023962981036182086
-3.1690176285724645	1.9341286914072968e-5	10.093957814636495	-0.37914333727865457	0.02938478471142957
-3.123355709231078	3.166474803835085e-5	41.69684592376176	-0.022535551057869384	0.04466740814622202
-3.1210523699134094	4.3353362782390976e-32	56.60416576149168	-0.08507054044837446	0.044656629421904355
-3.0880226207013886	3.0092655381050533e-36	17.669451381227567	-0.24976913754038912	0.04252818679923366
-3.0078626643108435	0.00016161739632250373	23.738667603055426	0.12156070669285565	0.0954348699357612
-3.003771893851724	1.5683552515022735e-31	131.55854942662523	-0.10932868308744803	0.05078796050088917
-2.992660307575256	0.00019179300151299313	19.889411370034992	-0.06994303095227647	0.03762894489900933
-2.9032158762406066	1.7108409268096494e-33	15.356746360625364	-0.03512024678546928	0.04764487220787692
-2.8624243869555084	0.0009322359561090202	10.888211810696417	-0.004232226259861631	0.0362636894286068
-2.7195309852068714	2.3947293831301682e-32	12.247274652516817	-0.2753949105390398	0.05217205663335842
-2.699122749918325	4.3515384274870157e-32	42.2190879312729	0.004821323510432801	0.02485202330985184
-2.6721590475834027	0.0006982447797664473	24.469930554048904	0.03866349278210404	0.02846492819930714
-2.6173897839999123	5.309166290498638e-33	14.868930512587397	-0.34079779792128995	0.055782665183444005
-2.537650382127815	1.2526804478860042e-32	13.927470238034257	0.013459358197294217	0.06923173808748205
-2.4737886873313846	1.977585517644072e-6	27.482740680232638	-0.17312314776449717	0.031960167314801585
-2.4648774362535146	2.7410038546530237e-32	43.166191537281804	0.1819006168379126	0.026450081095039497
-2.4274561310234546	0.0003710193717870537	15.979261867396088	0.120250054232476	0.027075957788380706
-2.339715209324824	0.00018472439196272014	15.38912447052786	-0.2576704896936251	0.04118818654110118
-2.2974942216354153	0.00010301010731568137	31.706079285202748	-0.1024337143877981	0.0359589403555195
-2.276635823759375	4.522827610735833e-5	64.60448372739614	-0.04188626766580016	0.024612536371966753
-2.2665366180046957	4.945591170801219e-33	29.550755024901452	-0.114407752671021	0.04244234522911316
