energy	weight	density_proxy	mz	ipr
-8.093254514234747	0.007729891124749484	0.5459562818677125	-0.12582972355450123	0.004459730082002431
-6.2616060229324635	2.0346883091807592e-32	1.0703630528991295	-0.09492275811272693	0.012643729159256554
-6.224729629539873	0.00014921426788651527	21.687764269271266	-0.09540055109662389	0.012301764266970038
-6.169388126464742	3.748927242976173e-32	16.489994196787375	-0.09624787092920843	0.011762252155266705
-6.103443959203515	0.0008944936128643453	14.94816477237574	-0.09770731335844117	0.011234467788184805
-6.035592437799602	2.4442793103061325e-31	15.424713222945092	-0.0999805580145005	0.010711735321524442
-5.973781905128831	0.004256412746649654	18.009348254780477	-0.10264886118060709	0.010454555998657767
-5.92453900201138	4.374754993735943e-30	24.717010092781383	-0.10493418464098142	0.010002346897848225
-5.89286596940309	0.04792148105974236	1.3055323098165357	-0.1063809251892518	0.011309949105575314
-4.3925968317857675	8.87073585687305e-5	1.2853284997604635	-0.06371363365595352	0.03184273217670714
-4.336843520377238	5.7911233132087716e-33	21.546133012551	-0.06389945570964933	0.024544804342140847
-4.299772750599832	0.00026760893927129704	30.105350978827286	-0.06405377213783366	0.01766705507819504
-4.270410147738382	2.661623843706134e-5	30.138987084393925	-0.06458468034152631	0.01690495248292296
-4.233413519800214	1.370116801060092e-32	29.25214934616167	-0.06485383139732155	0.022180137683136317
-4.202039103397928	7.674450486470966e-34	36.068669299839684	-0.06605338892873616	0.014305509593614589
-4.177963733633335	0.001037300820886296	54.18297860414369	-0.0655040406029841	0.01593827551396167
-4.165127142270581	3.087698521049017e-5	52.34558314803287	-0.06646349611632366	0.013373251119020019
-4.139756116491235	3.44522442590398e-5	36.19769201693049	-0.06799734308240989	0.012894055926478321
-4.109875000806298	9.375640935772017e-33	54.40117922314418	-0.06745272843369998	0.017605680753014642
-4.102992207536314	4.834651502021169e-33	101.29871687081756	-0.06870079839032996	0.011697989617691886
-4.090131414097786	1.3075894206176042e-32	44.21020609862843	-0.06970362177626038	0.013436599476069167
-4.057753784635995	0.00011945390857695661	52.53758620423548	-0.0710072492440841	0.011259503683867453
