energy	density_proxy	mx	ipr
-7.0253316875655925	4.6161195730563566e7	-0.06337112678673082	0.49089902309088657
-7.0253316659023755	1.2381493735890339	-0.06337091076040285	0.4908990704972601
-5.41001770149735	1.210177560584877	-0.2340344779436289	0.2660004501332159
-5.372681620868155	24.777799606159554	-0.1622929998285151	0.1941438836727173
-5.329300283817419	32.47871751392476	-0.07087116537798037	0.33850982595349116
-5.311102834724813	9.251977700082403	-0.02793993192739187	0.24786022890542367
-5.113130285917166	8.547548770598613	-0.24140191429322147	0.25842974842685
-5.077117624031486	25.90154929353616	-0.17217070633897097	0.3726467767579605
-5.035914827593246	24.985047615331133	-0.08625250404474519	0.3302637656312998
-4.9970697477659725	27.303698143018064	0.004765881711394248	0.3329507919760218
-4.962664677026686	31.833372534579304	0.07399610379553255	0.37243867157053034
-4.9342426000037465	8.054996583897346	0.1233910529762511	0.2577650822818164
-4.7143715860031365	8.391412740875353	-0.03610471663772676	0.24742830245297381
-4.695903709788299	39.23730394541741	0.006544708878683633	0.32217451223394966
-4.663399684294951	33.624172724309965	0.07097164892867933	0.19480997436684253
-4.636422692473811	1.663375856610106	0.11757365146372563	0.2483029948175275
-3.461025613484569	1.7015526203349656	-0.34172922549293117	0.09186596104167429
-3.4610256015473593	44.63802052517491	-0.34172909283679886	0.09200987747610088
-3.416220759316091	44.63802451646615	-0.24984003630517848	0.10177244957911459
-3.4162207513850893	60.585186477445944	-0.24983994502871998	0.09950367222998753
-3.383209389437011	60.58518980422953	-0.18367323139497654	0.15795564339163293
-3.3832093833186914	137.19914566068107	-0.18367315974935472	0.1574500246933928
-3.368632039189172	137.19916789496506	-0.15871731018093566	0.1575768862417378
-3.3686320354332353	75.69025016024894	-0.1587172655850539	0.15762130841889246
-3.342208556696174	75.69025332927842	-0.09869092831854469	0.10036951584079554
-3.342208554046546	69.5948245808968	-0.09869089633247174	0.10124895822477517
-3.3134707875869895	69.59482800382796	-0.03305675873349769	0.14364087720503668
-3.3134707863507913	8.42634616609063	-0.033056743582695385	0.14572947734836056
-3.076119988014048	8.426346155072897	-0.15807088644359296	0.10299241514662526
-3.0761199864675057	75.70824590282135	-0.15807086581944035	0.10205033195658095
-3.0497027863453265	75.7082407912613	-0.10385140595959524	0.10692087512669424
-3.0497027830151855	170.58635633513984	-0.10385136282953883	0.10692700517355595
-3.037978519276331	170.5863848423903	-0.0842834335802762	0.10041089561651356
-3.037978517905471	93.47555289817345	-0.08428341820078629	0.10032990384946264
-3.0165825506193853	93.47552925282804	-0.044016824037022693	0.11096471424992246
-3.016582543836252	343.88187218137614	-0.04401678134109128	0.11100982407054345
-3.0107665999636755	343.8815321024622	-0.027631303043364974	0.06283425237406114
-3.010766587428904	283.11842336595254	-0.027631196640484135	0.06264182259806843
-3.003702418211664	283.1181083140553	-0.011255725819687952	0.0750885815560852
-3.0037023978159194	86.46638484991593	-0.0112555301168257	0.07373813459426928
-2.9805720421300053	86.4664433722888	0.028630519929221648	0.06716827450155546
-2.980572037389403	605.3627126550152	0.02863057599642356	0.06725583030888772
-2.9772682377195414	605.363187590055	0.0450267284851656	0.0839350465851133
-2.9772682355709246	58.126923276381184	0.0450267559423253	0.08403083781022497
-2.9428607740646973	58.126924933340256	0.10887792212101136	0.10033885736901675
-2.9428607728968954	8.120440026902697	0.10887793818129549	0.09895479573703903
-2.6965687020373097	8.120440011321113	0.008425525537950137	0.13415719994553604
-2.69656870039692	98.04923445462244	0.008425545790949179	0.13509331570856323
-2.6761707865296103	98.04923006822794	0.05450618531408969	0.11067919956675551
-2.676170783976686	108.3670402652178	0.05450621620099441	0.11099205905714338
-2.6577149904212622	108.36703821681097	0.09540605975430086	0.15796907422120923
-2.6577149875194777	88.69343294946448	0.09540609453852647	0.15798723490904995
-2.6351654066077734	88.69341783712115	0.13956069137054272	0.1558355669729968
-2.635165399863798	74.7827181150477	0.1395607703784917	0.15537412506672835
-2.6084212596923972	74.78271559707318	0.18790885975536897	0.11095109339869619
-2.6084212520479317	57.550979758639244	0.18790894784080206	0.10976789527068337
-2.5736694620968095	57.5509720298191	0.2559021468748871	0.08273946947350425
