time	rate	entropy	mx	mz
0.0	4.440892098500626e-16	0.0029201739311156528	-0.2586579046113409	-0.9646786299603105
0.02	0.0008992960117413757	0.002833893443657588	-0.2609747545583164	-0.9623655577190223
0.04	0.0035887084226444658	0.0025793854366997497	-0.26785856087679183	-0.955452147398716
0.06	0.008042744820263183	0.0021722475730753354	-0.27911116077573994	-0.9440150800910726
0.08	0.014218516591496989	0.0016472469017952656	-0.2944107356418842	-0.9281797577776214
0.1	0.022055509783398892	0.0010732281292204799	-0.31332137498554047	-0.9081168629715668
0.12	0.03147496391998276	0.0005789003050275455	-0.33530952986319373	-0.8840376483411635
0.14	0.04237962148597797	0.0003948991497688695	-0.35976102677441557	-0.8561884369100524
0.16	0.05465347037870016	0.0008219568334385615	-0.386002560693705	-0.8248443452069378
0.18	0.06816198921704292	0.0020835452905389935	-0.41332413582166516	-0.7903026807146105
0.2	0.08275292276399218	0.004361217664112441	-0.4410022337247062	-0.7528762027856383
0.22	0.09825811384682206	0.007837087516603223	-0.4683221467695275	-0.7128865531443725
0.24	0.1144957185674142	0.012679204432788999	-0.49460383569855976	-0.6706582170587575
0.26	0.13127424262625922	0.019025044028446493	-0.5192198925357199	-0.626513034243973
0.28	0.1483975836023175	0.02696858055580755	-0.5416144833092297	-0.5807655833514735
0.3	0.1656709054053518	0.036551646986047646	-0.5613194396252922	-0.5337194767372065
0.32	0.1829073180722154	0.047760031317683777	-0.5779659066034172	-0.4856644323570918
0.34	0.1999348498099681	0.06052241116198379	-0.5912927861297986	-0.4368746972755409
0.36	0.21660326748044173	0.07471379984524806	-0.6011495959636863	-0.3876079122326677
0.38	0.23278943957684187	0.09016148886879179	-0.6074980805581635	-0.3381052988570945
0.4	0.24840180660089323	0.10665349338820457	-0.6104064194526713	-0.2885920337943007
0.42	0.2633821703862156	0.12395026196922296	-0.6100409068165314	-0.2392774985911776
0.44	0.27770589490608644	0.1417932924025887	-0.6066567911360912	-0.1903576576547898
0.46	0.29137981678858227	0.15991700670941636	-0.6005839210614902	-0.14201606252335924
0.48	0.304438469140218	0.17805953412241954	-0.5922098355946799	-0.09442480408266057
0.5	0.3169392036846579	0.19597231011250277	-0.5819639260818241	-0.04774605784412406
0.52	0.3289564342861614	0.21342829933511928	-0.5702977621560866	-0.002132358196485394
0.54	0.34057608809593276	0.2302277215532662	-0.5576698497759504	0.04227178176191938
0.56	0.3518899096738377	0.24620421237147624	-0.544526668595684	0.08533088295571714
0.58	0.362990152184541	0.2612275677115085	-0.5312884849574926	0.12691798017587338
0.6	0.37396554236374324	0.2752054683267919	-0.5183357917121255	0.16691518469798067
0.62	0.3848975854291881	0.288083843403073	-0.5059982298930227	0.20521454156435073
0.64	0.3958572002168029	0.2998456305305859	-0.49454630432670327	0.24171885145756264
0.66	0.4069040979067465	0.31050791089129626	-0.4841867776744338	0.2763426631207279
0.68	0.4180834317788317	0.320120636128314	-0.47505819926613113	0.30901291449334456
0.7	0.42942709541870283	0.32875900319286194	-0.4672361896635025	0.33966952760410785
0.72	0.44095245828655183	0.33652170630587924	-0.46073246053118505	0.36826593851087375
0.74	0.45266323811442727	0.34352354120725964	-0.4555024146508338	0.3947697696819743
0.76	0.464550388068573	0.3498912990778145	-0.45145302715887503	0.41916164231791003
0.78	0.4765944664479497	0.35575662537385894	-0.4484531073343075	0.441435162088286
0.8	0.4887661744807031	0.361252109547243	-0.44634220146402914	0.46159587522291434
0.82	0.5010315759634962	0.36650497008078275	-0.44494246492920614	0.4796601642806488
0.84	0.5133501630451208	0.37163311279119204	-0.4440692916900694	0.49565381126332975
0.86	0.5256799728896779	0.37674174751137196	-0.4435418157701702	0.5096102204511246
0.88	0.5379813485524688	0.38191970841632067	-0.44319189542525284	0.5215692019645276
0.9	0.5502173366711492	0.38723845842856425	-0.44287233259546227	0.5315749212003358
0.92	0.5623555032716432	0.39275053753522243	-0.44246344223679596	0.5396747779288978
0.94	0.5743728036992494	0.3984903456773347	-0.44187636471782016	0.5459180295585574
0.96	0.5862538889700603	0.40447521297772904	-0.4410564163321836	0.5503546362103581
0.98	0.5979916017433969	0.4107069343085647	-0.43998309540574226	0.5530345522163199
1.0	0.5649292048908037	0.41717482781651544	-0.438668745205636	0.5540072659791064
1.02	0.5497470680867113	0.42385783367127405	-0.43715520150699816	0.5533217308787619
1.04	0.6324227196491088	0.4307284723222032	-0.43550944665372915	0.5510263724340516
1.06	0.6437048674883998	0.4377559802806531	-0.43381758265614284	0.547169353635674
1.08	0.6549348416861546	0.444908939463895	-0.4321786796327786	0.5417991900993661
1.1	0.6661332440340993	0.45215825817833727	-0.4306980425527956	0.5349655659602608
1.12	0.6773531391105249	0.45947948684747614	-0.42948015274213014	0.5267197827589623
1.14	0.688610437285656	0.46685497132891696	-0.4286224884688301	0.5171160289009452
1.16	0.69994803785952	0.47427583153319003	-0.42820876783004574	0.5062107618817365
1.18	0.6868676611503678	0.48174149277524014	-0.42830541111103015	0.4940645029984606
1.2	0.6558767533482567	0.4892605998243732	-0.42895697950125106	0.4807415206381379
1.22	0.6267948560038307	0.49685093152655363	-0.4301844546044449	0.4663101636143915
1.24	0.5995155525834763	0.5045374648193379	-0.4319838197386051	0.45084315536720515
1.26	0.5739327828413371	0.5123523829235795	-0.4343264474758544	0.43441626330115835
1.28	0.5499367594595507	0.5203323899223182	-0.4371612362608963	0.41710885493281213
1.3	0.5274230544900564	0.5285163699419796	-0.4404171310670789	0.3990035970737675
1.32	0.5062850232886644	0.5369442814800817	-0.44400689484120953	0.3801847797015159
1.34	0.4864163495055976	0.5456535605064482	-0.44783175063174674	0.360737622634092
1.36	0.4677158292949483	0.5546776536608301	-0.4517864599155883	0.3407486625422328
1.38	0.4500846183313008	0.5640434035748015	-0.4557641384671045	0.3203033605160309
1.4	0.43343021201529225	0.5737695914365571	-0.45966197144243953	0.29948749043341105
1.42	0.4176637293303893	0.5838667382465669	-0.46338497665039147	0.278382935261999
1.44	0.40270497767948643	0.594334404245609	-0.4668506278991305	0.25707112051477615
1.46	0.38847800468533283	0.605162975446858	-0.4699915248710331	0.2356288319735168
1.48	0.37491762189583117	0.6163318436735681	-0.4727586476527255	0.21413255605892142
1.5	0.36196621469917484	0.6278119201100738	-0.47512207618501473	0.19265340914336052
1.52	0.34957435364140826	0.6395658442949369	-0.47707169964521573	0.1712611933210038
1.54	0.33770039383059786	0.651550579890858	-0.47861584112412014	0.1500201498548843
1.56	0.3263104901751406	0.6637186940102444	-0.47977999994615556	0.1289918704368396
1.58	0.315376995947499	0.6760201668786052	-0.4806042694213861	0.10823425480114458
