time	rate	entropy	mx	mz
0.0	4.440892098500626e-16	0.0029201739311158106	-0.25865790461134025	-0.9646786299603124
0.02	0.0008993016172720548	0.002833901011047274	-0.26097472219515866	-0.9623655520730022
0.04	0.0035887554575269117	0.0025794066269035644	-0.267858314657372	-0.9554521139364966
0.06	0.008042817939355816	0.0021722152503750587	-0.279111008459562	-0.9440149946526565
0.08	0.014218627587613284	0.0016471848018003235	-0.2944105640464943	-0.9281796121426091
0.1	0.0220556412086019	0.0010731659188691419	-0.3133212994729596	-0.9081166440579761
0.12	0.03147515848376918	0.0005788435763520983	-0.33530922012312614	-0.8840373550259519
0.14	0.04237986863762587	0.00039489168096739263	-0.3597606137436529	-0.8561880457756949
0.16	0.05465381899822254	0.0008220793431599116	-0.38600173120718234	-0.8248438260840726
0.18	0.06816244197607416	0.002083831076542032	-0.4133228010696932	-0.7903019903775508
0.2	0.08275349535796706	0.004361720949903183	-0.4410002079488258	-0.7528752899779275
0.22	0.09825870022107464	0.00783780555015059	-0.4683201610843346	-0.7128854146757114
0.24	0.11449633617349496	0.012680193663131493	-0.49460145621782226	-0.6706568444938124
0.26	0.1312749048392891	0.019026316903896393	-0.5192170500017468	-0.6265114023172224
0.28	0.14839830622716724	0.02696992094673711	-0.541611331083092	-0.5807637531465278
0.3	0.16567164472509352	0.03655331542997339	-0.5613160351127263	-0.5337173399422168
0.32	0.18290808577956139	0.04776179106485493	-0.5779625062407715	-0.48566207070248696
0.34	0.19993571548161465	0.06052404060217762	-0.5912895783517812	-0.4368721506310087
0.36	0.2166041797852251	0.07471511888829485	-0.6011473187407429	-0.3876053049697702
0.38	0.23279045542661922	0.09016267408442687	-0.6074961645722664	-0.3381025370070567
0.4	0.24840300206609467	0.10665490741624971	-0.6104042781834265	-0.2885888528230305
0.42	0.2633834447487764	0.1239517208967669	-0.6100390984718917	-0.23927412759844263
0.44	0.2777073081106564	0.14179472190794126	-0.6066552730342287	-0.1903541451235008
0.46	0.2913814648330172	0.15991841306769441	-0.6005822823849988	-0.1420122398540711
0.48	0.3044403015918097	0.17806131582286588	-0.5922080963042501	-0.09442067110404205
0.5	0.31694133616883413	0.1959742857983736	-0.5819618345068188	-0.047741512284606616
0.52	0.3289589605513699	0.21342992742354813	-0.5702961699118806	-0.0021277585618436298
0.54	0.3405791730429471	0.2302290320825649	-0.5576682589053643	0.04227665873033661
0.56	0.3518936080750103	0.2462050497218082	-0.5445249183138576	0.08533613250007362
0.58	0.36299422126090264	0.2612279130769686	-0.5312867188866697	0.1269235282296792
0.6	0.37396960827599446	0.2752053533379829	-0.5183345448297708	0.16692080759672698
0.62	0.3849008756990449	0.2880836678256374	-0.5059970941424832	0.2052201709643127
0.64	0.39585997195704575	0.29984507605323507	-0.49454561191092145	0.24172447619597798
0.66	0.4069058081629685	0.31050740811252076	-0.4841861794013861	0.2763481758277206
0.68	0.4180841348087333	0.3201197213191652	-0.4750583619213538	0.30901825011690737
0.7	0.4294260216167009	0.32875824637091966	-0.46723628897286057	0.3396746640356239
0.72	0.44094938227195	0.3365210513473942	-0.46073205916793497	0.36827108943581127
0.74	0.4526586663952984	0.34352308464148784	-0.4555017695126295	0.3947747129852581
0.76	0.4645458311601714	0.3498907729627181	-0.4514524428559556	0.41916639732551414
0.78	0.4765905594072952	0.35575623745728086	-0.4484521874611264	0.44143975617789316
0.8	0.4887638457512136	0.36125194957985174	-0.4463408082601359	0.4616002844645595
0.82	0.501030590882466	0.3665049986816372	-0.4449408130942899	0.47966436259969136
0.84	0.5133506026026504	0.37163353386582165	-0.4440674877680624	0.495657731635862
0.86	0.525682740138683	0.3767423659185291	-0.44353997104425236	0.5096138838434817
0.88	0.537988893527748	0.38192053183554636	-0.4431900725512787	0.5215725697013646
0.9	0.5502311509952448	0.3872393264937627	-0.44287061036753705	0.5315780534449213
0.92	0.5623746093889505	0.3927516101119064	-0.44246147701606386	0.5396776731429885
0.94	0.5743915692485444	0.3984917496218145	-0.4418742467392225	0.5459205306462094
0.96	0.5862720811725565	0.4044769841893345	-0.4410542219244118	0.5503566224427522
0.98	0.5980109773833496	0.410708992573811	-0.4399809685571529	0.5530360388308321
1.0	0.609607403241546	0.41717718681481364	-0.43866645908129415	0.5540082023785831
1.02	0.6210752360541321	0.42386034502961106	-0.4371529687291743	0.5533221786191516
1.04	0.6324335373512189	0.4307313739066726	-0.435507170393146	0.5510261897359978
1.06	0.6437064794506613	0.4377589719191962	-0.43381549695763677	0.5471686038660637
1.08	0.6549236188909492	0.44491164921385445	-0.4321771680383836	0.5417980095548197
1.1	0.6661241209286911	0.4521606141810004	-0.430697137666263	0.5349639073831961
1.12	0.6773416776166019	0.4594814486336512	-0.4294801808445909	0.5267179001018575
1.14	0.6886045471397296	0.4668571276395183	-0.42862287885647876	0.5171133941647219
1.16	0.6999439497332103	0.47427814698212434	-0.4282095837072483	0.5062073747355008
1.18	0.6868674499719202	0.4817439038400343	-0.42830643058278084	0.4940602181063925
1.2	0.6558774067021089	0.48926321460403766	-0.4289582996479251	0.48073637861861945
1.22	0.6267954055770891	0.49685360070604195	-0.43018591959647623	0.46630418925710454
1.24	0.5995152380911782	0.5045403818145463	-0.43198541315861755	0.45083621672884405
1.26	0.5739304963776005	0.5123555152514367	-0.43432824259887925	0.4344086074491182
1.28	0.5499341802107756	0.520335515139588	-0.43716330898887673	0.41710101889922774
1.3	0.5274212812435817	0.5285197321495451	-0.4404193523910726	0.39899551684227685
1.32	0.5062820597137843	0.5369478023714678	-0.44400925660978	0.38017644684007496
1.34	0.4864131076719052	0.5456574034521083	-0.4478342069643207	0.36072928568414586
1.36	0.46771430950561793	0.5546809654618623	-0.4517892276140247	0.34074103105696535
1.38	0.45008527914963065	0.5640465001169221	-0.45576733950638953	0.32029676374912897
1.4	0.43343260535181977	0.5737730493377461	-0.45966540928504207	0.2994813413183234
1.42	0.4176676839299092	0.5838704465790497	-0.46338852931599755	0.2783777855094987
1.44	0.4027086369752203	0.5943379834923751	-0.4668540908260062	0.25706682569735045
1.46	0.38848263221831897	0.6051656871119586	-0.46999519742164264	0.2356265355544754
1.48	0.37492270025142904	0.6163336367685089	-0.4727625402386921	0.2141314805218934
1.5	0.3619715911816898	0.6278130657811293	-0.4751262015458142	0.19265380009771685
1.52	0.3495797075205271	0.6395665740431122	-0.47707613572718915	0.1712620926809792
1.54	0.3377057178358511	0.65155102713127	-0.4786207082636013	0.15002091267098197
1.56	0.32631525500009634	0.6637187289376411	-0.47978536611075473	0.12899193643007786
1.58	0.3153810083428812	0.6760200838321146	-0.4806099793334091	0.10823326568929184
1.6	0.30488139286229626	0.6884049529711374	-0.4811458355173016	0.08780017597679639
1.62	0.2948004513009853	0.7008243492984696	-0.48145228205671736	0.06774389811902812
1.64	0.28512508186285707	0.7132333302657172	-0.4815921796246589	0.048113538267320996
1.66	0.27584524117784986	0.7255916917112947	-0.4816285968102585	0.028954305708880346
1.68	0.2669529901954952	0.7378653229562547	-0.4816210961164022	0.010309735055682025
1.7	0.25844024736893323	0.7500276701380657	-0.4816219835971342	-0.00777996687001477
1.72	0.2502995673501615	0.7620590833929382	-0.4816740048465188	-0.025278322247097848
1.74	0.24252283367796815	0.7739478880628201	-0.4818081532495968	-0.042150374983071774
1.76	0.23510029817770242	0.7856894273919262	-0.4820421656329544	-0.05836585078002424
1.78	0.22802091026945556	0.7972854607801936	-0.4823804110641784	-0.07389701754513137
1.8	0.22127207081729663	0.808742681964498	-0.4828140033266835	-0.08871965220634934
