time	rate	entropy	mz
0.0	-0.0	-0.0	0.5
0.1	0.002752202601524776	1.6913358056240856e-7	0.49725156495465567
0.2	0.010959626532128676	8.365301347915753e-6	0.4890991660572902
0.3	0.024470162326823326	7.774195117588002e-5	0.4758150933191717
0.4	0.043015450985660626	0.0003626720256051791	0.457832459719706
0.5	0.06619012048677339	0.0011547726258765842	0.4357165704632281
0.6	0.09342678489855591	0.002877953881499166	0.410129301935947
0.7	0.12397321583661416	0.0060412690557241884	0.38179012796622935
0.8	0.156882446936024	0.011163120259781376	0.3514374779390782
0.9	0.1910303658864529	0.01868760829247285	0.31979368771528144
1.0	0.22517469536982637	0.02891314986548046	0.28753602509216686
1.1	0.2580594488789095	0.04194713849995459	0.2552752949410833
1.2	0.2885494512477043	0.057691868151119104	0.22354252111933617
1.3	0.315759509094574	0.07585929099485642	0.19278330546610872
1.4	0.3391379143180747	0.09600722723446313	0.1633587777135148
1.5	0.3584815745350189	0.11758772670884274	0.1355516218389823
1.6	0.37388856472295934	0.13999877490494547	0.10957549479701541
1.7	0.385672664318576	0.16263245432459442	0.0855862067944709
1.8	0.39427086100365927	0.18491511464141167	0.06369325060809472
1.9	0.40016528738180535	0.2063374468310592	0.043970587821862174
2.0	0.4038263432672129	0.22647424016877649	0.026465959001289417
2.1	0.40567803084383786	0.2449948982271801	0.011208332359920675
2.2	0.4060815743871835	0.26166648334802584	-0.001786593904722969
2.3	0.4053249489552385	0.2763512613757808	-0.01251268712376977
2.4	0.4036224977200697	0.28900054626940175	-0.020971176228104793
2.5	0.401123546300772	0.29964604409090373	-0.027169574686505715
2.6	0.397920100598055	0.30838933115611056	-0.031121349710659385
2.7	0.3940526121877469	0.3153902901663272	-0.03284600387851061
2.8	0.3895185389219873	0.32085521598790895	-0.03236931843812664
2.9	0.38429158606561	0.32502455653777534	-0.029723609413185796
3.0	0.37834821214586417	0.32816035748195943	-0.024947951350101045
3.1	0.3716760950983396	0.330533756837472	-0.01808841387520619
3.2	0.364241160929575	0.3324129143151007	-0.00919842143825987
3.3	0.35593658700891745	0.3340516710085344	0.0016606180574411835
3.4	0.346586551010841	0.33567906122482183	0.014418269621337238
3.5	0.3360549215687242	0.33748964012197136	0.02899350246015502
3.6	0.32439386765461997	0.3396346093958436	0.04529255150753114
3.7	0.31187116573786644	0.3422140720797079	0.06320625193327321
3.8	0.2987896081597925	0.3452714008997955	0.08260698899309656
3.9	0.28521482652214286	0.34879130102999784	0.10334550421182884
4.0	0.2708446202691996	0.35270316093536297	0.12524788238682732
