time	rate	entropy	mz
0.0	-0.0	-0.0	0.5
0.1	0.002752311637688822	1.6927643617059999e-7	0.4972514561303285
0.2	0.01096136719414179	8.374729588922415e-6	0.489097434544472
0.3	0.02447893763168106	7.785713656978692e-5	0.4758064092562406
0.4	0.04304298973646567	0.00036338166032623463	0.4578053701391978
0.5	0.06625659409430322	0.0011577176416061028	0.4356515299836479
0.6	0.09356223811621667	0.0028873217213159896	0.40999714257426567
0.7	0.12421777565228198	0.006065809931167492	0.38155103867507534
0.8	0.15728468630283962	0.011218520868700245	0.3510405295230823
0.9	0.19164339253416443	0.01879876400296373	0.3191769028466643
1.0	0.22605019786174352	0.029115825240254124	0.28662695952667266
1.1	0.2592410014608673	0.042288613279711285	0.25399206747666175
1.2	0.29006730491770943	0.058230382651052896	0.22179520803907082
1.3	0.317629038816637	0.07666235351710647	0.19047560062569877
1.4	0.34136252118343813	0.0971490562871613	0.1603898114831212
1.5	0.36105889649189354	0.11914623041784184	0.13181782961010927
1.6	0.37681807171325493	0.14205250787016238	0.10497242746693008
1.7	0.3889632408730553	0.1652579518773647	0.08001018123528332
1.8	0.3979447150598831	0.18818490495323761	0.05704274730520028
1.9	0.40425859066425085	0.21031890950633436	0.03614731483544433
2.0	0.4083887500546058	0.23122935202467954	0.017375519737475597
2.1	0.41077109483971835	0.25058079283120516	0.0007604578808545771
2.2	0.4117781100001246	0.2681366624443121	-0.013678258822657852
2.3	0.4117098741612712	0.2837572104356835	-0.025931219354780488
2.4	0.4107895667571504	0.2973934693907218	-0.035997373166668754
2.5	0.4091710996237909	0.3090784683520429	-0.043883220619850526
2.6	0.4069486506973459	0.3189163075453579	-0.049602617448259535
2.7	0.4041658562388495	0.32706985350032425	-0.05317683055903912
2.8	0.4008271376097238	0.33374787193764094	-0.05463457203020875
2.9	0.3969108747010662	0.3391917039480985	-0.054011849284526785
3.0	0.3923771474345075	0.343661646251024	-0.05135158350550908
3.1	0.38716482883598907	0.3474235232350623	-0.04670304974255756
3.2	0.3811948337812689	0.3507360251719347	-0.04012126823001149
3.3	0.374407771002021	0.3538393246230343	-0.03166652155281561
3.4	0.36681567439748525	0.35694529197692604	-0.0214041847102233
3.5	0.3584816487816964	0.3602293841845961	-0.00940503206305787
3.6	0.34938884707906676	0.36382411880693044	0.004253868630901825
3.7	0.3393269383962498	0.36781412714088846	0.01948763995849743
3.8	0.32799701258137054	0.37223316050399124	0.03620150867401351
3.9	0.31532551631685274	0.37706390276694857	0.05428829146215606
4.0	0.30165467987419536	0.3822416280680928	0.07362567558703165
