time	rate	amplitude_real	amplitude_imag
0.0	-5.5511151231257815e-17	1.0000000000000002	0.0
0.05	0.0022444108064218152	0.9902682253454916	-0.03967103623933016
0.1	0.00898558883709534	0.9615859424937109	-0.0773993375467592
0.15	0.020247491064194795	0.9154505371061429	-0.11139384382775076
0.2	0.03607044990493418	0.8542229953511139	-0.14015070618996628
0.25	0.05651179066290504	0.7809409866301174	-0.1625586775815259
0.3	0.08164671160476393	0.6990853313353543	-0.17796429321199578
0.35	0.11156942191021564	0.6123236672100201	-0.1861919423737107
0.4	0.14639448835039343	0.5242564333750219	-0.1875195598743251
0.45	0.18625823295272076	0.43818858051514836	-0.18261593598325876
0.5	0.23131978147856527	0.35694603714097073	-0.17244981717565266
0.55	0.2817608434400755	0.2827496164340565	-0.15818349444137034
0.6	0.33778221658872265	0.21715167766139543	-0.14106417227848236
0.65	0.39959276263920684	0.16103349706635658	-0.12232510984293667
0.7	0.4673820470998457	0.11465493123243892	-0.10310565152879247
0.75	0.541258926790906	0.07774334478578684	-0.08439537613891533
0.8	0.6211222517710775	0.04960639018834541	-0.06700338434200862
0.85	0.7064055401989939	0.02925317535386233	-0.051549920529283234
0.9	0.7956153870848315	0.015510383464647424	-0.03847469038211683
0.95	0.8855891483693943	0.0071234712499455176	-0.028054789367693768
1.0	0.970356743480968	0.002837428549654692	-0.020425235131277353
1.05	1.0390917716280346	0.001455934378984839	-0.015596553795580018
1.1	1.0744746232504745	0.00188136841927639	-0.013466316281419331
1.15	1.064040216595776	0.003140497911953489	-0.013824396607597786
1.2	1.0195733486579917	0.004401493997886541	-0.016354406776908283
1.25	0.9630873986452366	0.004987273929654726	-0.02063568154860989
1.3	0.907496365800322	0.004388328539020072	-0.026150928289780453
1.35	0.8575219121136114	0.0022756970626868177	-0.03230404433274082
1.4	0.814407401734168	-0.0014877839894635696	-0.038450728702937295
1.45	0.7782285166952222	-0.006841799124909399	-0.04394172429632715
1.5	0.7487325661739326	-0.013533205151768892	-0.048175363210075844
1.55	0.7256251450940038	-0.021135404910379445	-0.05065319255142094
1.6	0.7086706825325163	-0.029085163119711762	-0.051030452322221684
1.65	0.6977319318209811	-0.03673689264529214	-0.049152547274268876
1.7	0.6927862854202873	-0.043431213555529015	-0.04506965673877147
1.75	0.6939231757644385	-0.04857144074939081	-0.03902422848614882
1.8	0.7013071535560397	-0.05169921785286122	-0.03140997721586436
1.85	0.71506428314035	-0.052559314198311835	-0.022705576099996523
1.9	0.7349896125369916	-0.05114396702005059	-0.013390749343041117
1.95	0.7598440787751346	-0.047709146413246556	-0.0038561619204057177
2.0	0.7858606419066485	-0.04275852503612333	0.005679332452646638
2.05	0.8046709951733549	-0.03699527151347528	0.015230361282386176
2.1	0.804325944684064	-0.031246398576927972	0.025073911544502146
2.15	0.7785576010756421	-0.02636855272878524	0.035737725461513624
2.2	0.7332312236811528	-0.023147147884845315	0.04794603990016463
2.25	0.6781970972667893	-0.022202100721160023	0.06252673725788034
2.3	0.619904079212864	-0.023912853676669864	0.08029001688503618
2.35	0.5616216983120593	-0.028372908987831003	0.10189360062727587
2.4	0.505250649073187	-0.035380082404342525	0.12771245521786123
2.45	0.45215707637176844	-0.04446370890090642	0.15773151638807448
2.5	0.4033550923830316	-0.0549448446518559	0.19147776088512525
2.55	0.35953423985276933	-0.06602089953801414	0.22800341336163213
2.6	0.3211050284588516	-0.07686280537758935	0.26592568487077173
2.65	0.2882690550453432	-0.08671127975810891	0.30352109443701814
2.7	0.2610886981225079	-0.09495920582196486	0.3388651587421897
2.75	0.2395421746421685	-0.10120952075243213	0.37000208467180495
2.8	0.223561440383295	-0.10530189665293792	0.3951249496650666
2.85	0.2130556078562888	-0.10730627927654976	0.4127453030887032
2.9	0.20792351202606882	-0.10748626355479751	0.42183238872900025
2.95	0.20805833158419682	-0.1062395634240296	0.42190608479895764
3.0	0.21334607758053487	-0.10402582682677652	0.413073614819238
3.05	0.22365876746979418	-0.10129332497241479	0.39600723989995157
3.1	0.2388423490499311	-0.09841546468448839	0.3718674799502019
3.15	0.25869901870824885	-0.09564579579553185	0.34218290264317963
3.2	0.2829637185888822	-0.09309664676380164	0.3087022873265658
3.25	0.3112757940343312	-0.09074235125665749	0.27323741575501004
3.3	0.3431498559555359	-0.0884439433517385	0.23751462160406547
3.35	0.3779556015894176	-0.0859888809533759	0.20305069114265845
3.4	0.41492409176734446	-0.08313733801174367	0.17106424474536316
3.45	0.4532030399492682	-0.0796661808671108	0.14242810327061725
3.5	0.4919754007823348	-0.07540292378006938	0.11766225175489856
3.55	0.530623845251458	-0.07024447414274931	0.09696174485523835
3.6	0.5688776631979048	-0.06415883020845653	0.08024999722469756
3.65	0.6068550119778711	-0.05717144545184637	0.06724585358806069
3.7	0.6449376706230496	-0.04934106052972716	0.05753280071303804
3.75	0.6834450455182917	-0.0407318551929014	0.05062049531518161
3.8	0.7220216902382407	-0.03138941080188658	0.045991975831112926
3.85	0.7585230890899494	-0.02132708234767868	0.043133838488386
3.9	0.7874344443970519	-0.01052712215961604	0.04155054475184686
3.95	0.7998877241618619	0.0010423052287498445	0.040767192266823175
4.0	0.7895983675846561	0.013396626579787978	0.04032699503828594
