time	rate	entropy	mz
0.0	-0.0	-0.0	0.5
0.05	0.0006888083340155088	3.2231318943909003e-9	0.4993114285791891
0.1	0.002752173515643708	1.6940359743057466e-7	0.4972515933097106
0.15	0.006180842695574842	1.676071750639163e-6	0.49383802700045415
0.2	0.010959151018075356	8.373510520020819e-6	0.4890996067898759
0.25	0.01706466048361363	2.8751130818342036e-5	0.4830760483054779
0.3	0.02446766338236099	7.781503393090407e-5	0.47581721799639193
0.35	0.03313056186490584	0.000178587139124753	0.46738228314764974
0.4	0.04300714218053925	0.0003630236752795434	0.45783872328941255
0.45	0.05404177180532388	0.0006722343692770585	0.447261229993367
0.5	0.06616856054339626	0.0011559636298056001	0.4357305242998754
0.55	0.07931054284198309	0.0018713676313450263	0.4233321221923088
0.6	0.09337895756529309	0.0028811821178574937	0.41015507863032746
0.65	0.10827272196649018	0.004251421473279769	0.3962907397210267
0.7	0.12387821595263754	0.006048778127904151	0.3818315307392178
0.75	0.14006950679582722	0.0083379023816576	0.36686980503461725
0.8	0.15670914755674814	0.011178737566584017	0.35149677554038866
0.85	0.17364966814174831	0.014624066824719796	0.3358015467972267
0.9	0.19073584013075198	0.01871739921960675	0.31987026130973717
0.95	0.20780773214448586	0.02349128838588392	0.3037853698347274
1.0	0.2247044838631275	0.028966140303759606	0.28762503103035425
1.05	0.2412686237253174	0.03514953141770321	0.27146264191959407
1.1	0.2573506553363226	0.04203602680274341	0.2553664969667313
1.15	0.2728135628826937	0.049607462149922156	0.23939957033077988
1.2	0.287536857279647	0.05783363387615508	0.2236194131164707
1.25	0.3014198147268778	0.06667332880204385	0.2080781552354709
1.3	0.3143836460796838	0.07607561815004006	0.19282259983544692
1.35	0.32637246238668033	0.08598133927287169	0.17789439714658517
1.4	0.33735304266216537	0.0963246914962605	0.1633302840082891
1.45	0.3473135364688147	0.10703487865643134	0.1491623752307005
1.5	0.35626132485074646	0.11803773928465279	0.1354184932621002
1.55	0.3642203087537397	0.12925731500974816	0.12212252331151963
1.6	0.3712278961975973	0.14061731784299067	0.1092947820489653
1.65	0.3773319283862285	0.1520424669719426	0.09695238920516858
1.7	0.3825877348896374	0.16345967507298373	0.0851096327520346
1.75	0.38705545086387877	0.17479907265082176	0.07377831980137689
1.8	0.39079767058948106	0.18599486633018633	0.06296810685416786
1.85	0.3938774746928175	0.1969860332640672	0.05268680451675123
1.9	0.39635683143339145	0.20771685884312835	0.04294065322932104
1.95	0.39829534702085295	0.21813732872755603	0.03373456788907112
2.0	0.3997493291675924	0.22820338886858516	0.025072350468685074
2.05	0.4007711218383024	0.23787708856280607	0.016956870808469315
2.1	0.40140866811565584	0.24712662190216295	0.009390216683313881
2.15	0.40170526050862176	0.2559262829700624	0.002373815005952432
2.2	0.4016994423267058	0.2642563500459306	-0.004091473376746581
2.25	0.40142502877395375	0.27210291260473246	-0.010005282404898069
2.3	0.40091122115940686	0.2794576520892451	-0.015367689877470267
2.35	0.40018279121963657	0.28631758432621846	-0.02017918357665481
2.4	0.39926031509083365	0.2926847681603037	-0.02444064114732296
2.45	0.398160439504085	0.298565982280531	-0.028153320552188433
2.5	0.396896168491576	0.30397237303511165	-0.03131885814165542
2.55	0.39547716815569817	0.30891908136015084	-0.033939271678199136
2.6	0.39391009676761407	0.31342485998419334	-0.0360169660201469
2.65	0.39219897018793964	0.3175116862317089	-0.037554739580395624
2.7	0.39034556135156007	0.32120436833421856	-0.038555790113780034
2.75	0.3883498069493685	0.3245301425287017	-0.03902371883511618
2.8	0.38621016370300576	0.3275182613975157	-0.03896253231229372
2.85	0.38392383974439187	0.3301995762293488	-0.03837664200036161
2.9	0.38148684673854755	0.33260611714378535	-0.03727086167015819
2.95	0.37889388853521444	0.3347706751482576	-0.03565040332726462
3.0	0.37613820904768813	0.336726390540484	-0.0335208725046217
3.05	0.37321162031444405	0.3385063521131571	-0.030888264037720225
3.1	0.370104955942088	0.34014321138103926	-0.02775895958972599
3.15	0.36680908985107513	0.34166881550773304	-0.02413972828218679
3.2	0.3633164171287408	0.3431138617997211	-0.020037731804103467
3.25	0.3596223798428965	0.3445075756515272	-0.01546053531918141
3.3	0.3557263754608115	0.34587741279805645	-0.010416125370936788
3.35	0.35163137014959706	0.3472487858141579	-0.004912935802723723
3.4	0.34734185044936444	0.34864481416989135	0.0010401175291000128
3.45	0.3428603456606192	0.35008609698353965	0.0074335927579597975
3.5	0.33818345352081386	0.35159050808588443	0.014257468561665584
3.55	0.3332988262998701	0.3531730142315172	0.021501081460762475
3.6	0.32818465451051565	0.35484551922077395	0.02915305442700453
3.65	0.32281266355377153	0.3566167390443881	0.03720121774944694
3.7	0.3171545516124199	0.3584921154690257	0.04563252348114801
3.75	0.31119042917120826	0.3604737772638821	0.05443295514676671
3.8	0.30491668776850406	0.36256055907977747	0.06358743471784085
3.85	0.2983504122686622	0.36474808740187825	0.07307972914606685
3.9	0.29152828608257014	0.3670289407212515	0.08289235897389989
3.95	0.2844997039365001	0.36939288719092594	0.09300651170573386
4.0	0.2773157721640912	0.37182719804802306	0.10340196271265588
