energy	density_proxy	staggered_mz	ipr
-5.759941021799351	9.516998889274657	7.271960811294775e-15	0.29831092401606124
-5.65486588081904	1.4808342222496929	-7.549516567451064e-15	0.30650312353457027
-4.409350949021598	1.2831950842083004	-8.049116928532385e-16	0.26188269973365896
-4.096256418693528	3.576432733077357	6.366435156834882e-16	0.14877845145822755
-3.8501345036785617	7.788921894841466	2.1718737919229625e-15	0.1645171014900043
-3.839481472558225	4.085986517518609	-1.9290125052862095e-15	0.27461028079105326
-3.3606566281581634	3.4809229365504026	2.498001805406602e-16	0.12166911150867929
-3.2649212089569857	6.7857358954198	-5.967448757360216e-16	0.15502052261275379
-3.065920724665375	4.9874578765995725	5.551115123125783e-17	0.15348558391756661
-2.8639153158779265	3.1671197953769674	-6.643990912991171e-16	0.2505314751263174
-2.4344321390680155	3.815805932286394	2.498001805406602e-16	0.11654681221136284
-2.3397796455919853	19.70953558880121	9.020562075079397e-15	0.07020139423825426
-2.3329584137745396	8.42589261626578	-8.576472865229334e-15	0.0685018347895545
-2.1024160698754972	4.462968638358066	4.0245584642661925e-16	0.13635874828084038
-1.8848262035657304	8.225238514754393	-9.575673587391975e-15	0.06611627909160939
-1.8592620268149331	12.178250094405398	9.450773497121645e-15	0.0656777468735942
-1.7205989964960722	12.082819219681827	1.6375789613221059e-15	0.10107933940801556
-1.6937377428181835	7.930737376403893	-1.8596235662471372e-15	0.0997207612355238
-1.4684156363522165	5.620829850288512	-6.938893903907228e-16	0.08260129628558853
-1.3379183970507	9.638438050183932	6.245004513516506e-16	0.06459550583870884
-1.260913135471191	14.495999516584524	1.8318679906315083e-15	0.06843597328587508
-1.199949297526942	10.01152123462491	-1.1102230246251565e-15	0.06390900975714749
-1.0611432949915058	14.384407531913475	7.110978472724128e-14	0.08304799057297277
-1.060909855300158	4.917873383635236	-7.152611836147571e-14	0.09425214889899951
-0.6544634470199782	4.237230013006106	3.3306690738754696e-16	0.07417083982665366
-0.5889033808201241	16.901626260700326	5.967448757360216e-16	0.07890020846449611
-0.5361316386394792	17.69108035643144	-2.498001805406602e-16	0.09915118709357544
-0.4758520600581946	15.338265817296858	-6.661338147750939e-16	0.06774184160282458
-0.4057388012859491	11.676590600942339	2.0122792321330962e-16	0.21139147052845347
-0.3045691857713635	15.299758217617315	-3.191891195797325e-16	0.06297475038088549
-0.2750177812833554	5.704008065395811	-4.3021142204224816e-16	0.059335441386450506
0.046061454485491815	4.178663242282967	-1.5612511283791264e-16	0.11495328759422176
0.2036041808222393	7.596445086492877	-2.498001805406602e-16	0.10961515812257902
0.30934249939900926	11.956325629204569	7.112366251504909e-17	0.20080874970430423
0.3708796517340378	11.855790391402504	3.608224830031759e-16	0.10375643856678882
0.4780364399945132	10.66040576562311	-4.0245584642661925e-16	0.04930396474591976
0.5584897712708994	8.44978847181045	7.077671781985373e-16	0.04517905779461929
0.714728755627295	7.504438678747796	5.377642775528102e-17	0.21023512641596995
0.8249987115949642	9.970047641500207	-1.1796119636642288e-16	0.14616458156650686
0.9153296024753104	10.58887751779949	-1.249000902703301e-16	0.14905470454618178
1.0138761442253896	18.166383924047274	-1.231653667943533e-15	0.09699042568397907
1.0254230590686477	63.79695505138136	1.429412144204889e-15	0.12349451833535684
1.045225602806747	13.676097042145557	1.8388068845354155e-16	0.17496821349642247
1.171663612483603	4.299199859827541	1.3183898417423734e-16	0.15680088696208533
1.5104284464075626	5.724768873628495	-6.765421556309548e-16	0.16759610409703252
1.521022694771296	34.52457215067399	5.169475958410885e-16	0.06635052732898963
1.5683582012288966	11.757239791860957	-7.632783294297951e-17	0.06491661751139789
1.6911306482881168	5.371765819366516	2.1510571102112408e-16	0.15317708548399764
1.9406752506411244	4.134227284088284	3.8163916471489756e-17	0.09420721267980509
2.1748969878160747	6.068262789508624	-4.163336342344337e-17	0.12416366937526621
2.2702588677939257	14.252076347348343	-5.134781488891349e-16	0.0796085424133953
2.315227417660573	25.54542438103698	1.5265566588595902e-16	0.1747968950640172
2.348550775188686	4.12632150233108	3.0531133177191805e-16	0.07481430392823644
2.7999206241569987	4.407526284504667	-1.644517855226013e-14	0.13563676104166184
2.802320048676925	20.653820091593463	1.637578961322106e-14	0.13009643227159853
2.8967550107804225	5.010070319550424	1.5265566588595902e-16	0.134953133816993
3.201516042432851	6.409168420207887	-8.326672684688674e-17	0.12843039791633207
3.208807974421395	4.5719315018036	1.3877787807814457e-16	0.1213139084268367
3.6389679157190127	4.611145513516105	-6.25888230132432e-15	0.11384599532721093
3.642539678211188	3.519826054080452	6.300515664747763e-15	0.12361203989739228
4.20717781281931	3.458364399266441	6.522560269672795e-16	0.1529789337250202
4.220847736327974	9.936180686875991	-6.661338147750939e-16	0.11203908171922443
4.408462397211144	1.0542909658218236	-3.469446951953614e-18	0.6096578553406073
6.117857257263205	0.5850023440280756	-3.469446951953614e-18	0.8304748084024829
