time	rate	s1	s2	lambda1	lambda2	o11	ood	tf1_re	tf1_im	tf1_abs	tf2_re	tf2_im	tf2_abs
0.5	0.26286504605340233	0.8781569738545213	0.4783725727190841	0.7711596707293304	0.22884031832987542	0.875581042537349	0.0689255115333543	0.7679654251037503	-0.044735217637155045	0.7692672707530378	-0.004263731778985394	-0.22979799820474844	0.2298375499947576
0.55	0.3201632713227577	0.8533042397333273	0.521413316279681	0.7281281255468717	0.27187184639377465	0.8502493638281192	0.07487396135807342	0.7245945027571149	-0.04800837674129427	0.7261831708757541	-0.005755532214452477	-0.2731624505374578	0.27322307833472026
0.6	0.3838136758739404	0.8263714631197402	0.5631253313385568	0.6828897950586601	0.31711013879515937	0.8227912570225858	0.08100801904680709	0.679147911904064	-0.050999493970174614	0.6810600815118033	-0.007590032286909577	-0.31874651033907997	0.3188368649379453
0.65	0.45408104416478784	0.7974356694772631	0.6034038512398168	0.6359036469546507	0.36409620769104295	0.7932113007250523	0.0880397693699768	0.6321231301338003	-0.05374001603866424	0.6344033740247519	-0.009800542911501963	-0.36604024775694477	0.3661714265468098
0.7	0.5312462467920996	0.7665845204064576	0.6421431865383479	0.5876518269267986	0.41234787201762346	0.7612726790663279	0.09836221146333105	0.5840163543444734	-0.056282828814365415	0.5867221309624827	-0.012400031580650216	-0.41449699551775054	0.4146824328042403
0.75	0.6155881454963538	0.7339474536685456	0.6792058173107282	0.5386788647465419	0.46132054226873426	0.7245223602921596	0.12661432101557768	0.5353056466134638	-0.05869315962794647	0.5385137159658705	-0.015369521344458658	-0.4635474404170915	0.4638021687137683
0.8	0.6664214103963199	0.7152263704199551	0.6988920660739205	0.5115487609441027	0.4884501200210733	0.7128200354010781	0.08129209286981745	-0.018652943265551114	-0.5126218021735484	0.5129610553990668	0.4864403918271065	-0.06103143743087614	0.49025410875972053
0.85	0.5755961596854919	0.7484765232765856	0.663159752999346	0.5602171058962052	0.43978085799815364	0.7485516939936115	0.05950103294468618	-0.02216391303148879	-0.5611742412111412	0.5616117591715539	0.4378425960134261	-0.06333388501351218	0.44239950257056243
0.9	0.49401557118882494	0.7801828275756135	0.6255486900147503	0.6086852444438795	0.3913111635791702	0.7783939653563566	0.08302548493937693	-0.025803846575888745	-0.6087003086000575	0.6092469976847792	0.389919497485085	-0.06559992558637065	0.3953992472880526
0.95	0.42098422070344893	0.8099550878115382	0.5864866415313678	0.6560272442717966	0.34396658069474306	0.8067680489258763	0.09836725086126825	-0.02948387484720294	-0.6547413232205429	0.6554048361193202	0.3430800057066166	-0.06779238034424595	0.34971373600187766
1.0	0.3559203078601088	0.8377038831869063	0.546115198555337	0.7017477959064219	0.2982418100931351	0.8331948531729049	0.11147173415599164	-0.0331412221604277	-0.6988770077515265	0.699662356119017	0.29774568246220257	-0.06984892746521815	0.3058289785042027
1.05	0.2983330476925327	0.863357761127842	0.504575233411575	0.7453866236996799	0.2545961661723453	0.8574862496411124	0.12367636849343201	-0.03674509619805022	-0.7407133009816594	0.7416241611124534	0.2543513552364722	-0.07169759752863342	0.2642634242607326
