time	rate	entropy	mz1	mz2	staggered_mz
0.0	-0.0	-0.0	1.0	-1.0	1.0
0.05	0.0012513003131837729	0.005233397482910694	0.9975005250509142	-0.9975005801549387	0.9975005526029265
0.1	0.005001718344566631	0.017422428453530828	0.9900347302518657	-0.9900347861779243	0.990034758214895
0.15	0.011252671932201513	0.03451263530630209	0.9776838086951366	-0.9776838645857278	0.9776838366404321
0.2	0.020003455575380497	0.055338144023940106	0.9605854501907952	-0.9605855059369396	0.9605854780638674
0.25	0.03125425803340632	0.07904386886041895	0.9389249282971325	-0.9389249840170635	0.938924956157098
0.3	0.04500140413585677	0.10494137002465775	0.9129392056951183	-0.9129392614108326	0.9129392335529755
0.35	0.06123743125474768	0.13246113154936456	0.8829097361354017	-0.8829097918446916	0.8829097639900467
0.4	0.07994868024594673	0.16112760969295986	0.8491583840620477	-0.8491584397620238	0.8491584119120357
0.45	0.10111211334975113	0.19054597417555008	0.8120427595984887	-0.8120428152958042	0.8120427874471465
0.5	0.12468887022422795	0.22039125438316629	0.7719548568574641	-0.7719549125752716	0.7719548847163679
0.55	0.15062568636704513	0.25041038562247886	0.7293041723976194	-0.7293042281589445	0.7293042002782819
0.6	0.17884465028719268	0.28041106074688177	0.6845184182445666	-0.6845184740342992	0.6845184461394329
0.65	0.20923079065828654	0.3102519942768438	0.6380439664433325	-0.6380440225103643	0.6380439944768483
0.7	0.2416279672086209	0.33984342437935916	0.5903298818038989	-0.5903299370743647	0.5903299094391318
0.75	0.27582443247444827	0.3691370471124185	0.5418265358254467	-0.5418265911823421	0.5418265635038944
0.8	0.31154034312840234	0.39811922193993465	0.4929789739889062	-0.4929790293586769	0.49297900167379155
0.85	0.3484158820648678	0.42680416438988916	0.44421984442135776	-0.44421989964659114	0.44421987203397445
0.9	0.3860018234856933	0.4552276127171294	0.39596177395829063	-0.39596182904741933	0.395961801502855
0.95	0.4237481193025834	0.4834355570943505	0.3486007657609016	-0.3486008209033086	0.3486007933321051
1.0	0.46101516946222143	0.5114824514677379	0.30250216996221707	-0.3025022255348089	0.30250219774851295
1.05	0.49708747880303383	0.539422446965554	0.25800338990403826	-0.258003445725734	0.2580034178148861
1.1	0.5312129170118891	0.5673068195317027	0.21540632958108874	-0.21540638548754767	0.2154063575343182
1.15	0.5626524260735732	0.5951780003447844	0.17498008426960293	-0.17498014020588998	0.17498011223774645
1.2	0.5907485015131475	0.6230704187934555	0.13695213997453612	-0.1369521956178462	0.13695216779619115
1.25	0.6149839665511461	0.6510064900657745	0.1015133184361962	-0.10151337379781775	0.10151334611700696
1.3	0.6350296727744883	0.6789983238057182	0.06881305367888077	-0.06881310859624958	0.06881308113756518
1.35	0.6507646228581376	0.7070472785517297	0.03896198682492102	-0.038962041304264	0.03896201406459251
1.4	0.6622672649590327	0.7351459306282424	0.012031237091161598	-0.012031291889366656	0.012031264490264128
1.45	0.6697837510139824	0.7632799995591857	-0.011946383091402214	0.011946327804769582	-0.011946355448085897
1.5	0.6736804488010337	0.7914298983176414	-0.03297377773497294	0.03297372222853453	-0.03297374998175373
1.55	0.6744005679096909	0.8195738654276417	-0.051088952484737715	0.05108889667071174	-0.05108892457772472
1.6	0.6724195978629601	0.847689191073728	-0.06636084838675846	0.06636079233976172	-0.06636082036326009
1.65	0.6682143717455993	0.8757544188852808	-0.07888709982703306	0.07888704360450911	-0.07888707171577108
1.7	0.6622410834741888	0.9037508595920292	-0.08879082961854605	0.0887907732412732	-0.08879080142990962
1.75	0.6549220517807878	0.9316636511931853	-0.09621725558508179	0.09621719905895924	-0.09621722732202051
1.8	0.646639202051035	0.959482388003771	-0.10133020563477978	0.10133014897001469	-0.10133017730239724
1.85	0.6377320964460333	0.9872012968767989	-0.10430856374367918	0.10430850696153808	-0.10430853535260863
1.9	0.6284988155054282	1.0148190161174866	-0.10534271926932919	0.10534266240105353	-0.10534269083519135
1.95	0.6191984551080001	1.0423380488748166	-0.10463107261572571	0.10463101569799844	-0.10463104415686209
2.0	0.610054405988454	1.0697639807559352	-0.10237664903996548	0.10237659210971634	-0.1023766205748409
