time	rate	mx	s1	s2	s3	s4	lambda1	lambda2	lambda3	lambda4	o11	ood	tf1_re	tf1_im	tf1_abs	tf2_re	tf2_im	tf2_abs	I12	I13	I12_3	I12_4
0.0	2.220446049250313e-16	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999998	0.0	0.9999999999999998	0.0	0.9999999999999998	0.0	0.0	0.0	-2.2204460492503126e-16	-2.2204460492503126e-16	2.2204460492503126e-16	2.2204460492503126e-16
0.05	0.00244491656392381	0.9950996748530073	0.9999890630709203	0.004676936876156699	0.0	0.0	0.999978126261457	2.1873738543554382e-5	0.0	0.0	0.9987849737537443	0.048666632901549184	0.997522451404593	-0.04998495491086702	0.9987740168695168	0.00013978631713551122	-0.00033336098854929336	0.0003614827286951229	0.00044418813519778654	1.47509053935994e-5	0.00047840462870713863	2.0559982699227077e-5
0.1	0.009982807050695458	0.9800921989721745	0.9999600513079253	0.00893695469531514	0.00016318402222021444	0.0	0.9999201042117486	7.986915922611532e-5	2.662902510796744e-8	0.0	0.9950484214150415	0.09769725840020663	0.9900183475033234	-0.09952514247041344	0.9950083328178551	0.0004602451730445287	-0.0014369929068437594	0.0015088983509932224	0.0013652273548604974	7.611370408100058e-5	0.0015128241095217182	9.82431405652036e-5
0.15	0.022634577466927513	0.9551489652512515	0.9999089480600309	0.013491486412353974	0.0002724377520958681	3.408135434876271e-5	0.9998179044105177	0.00018202020561473191	7.422232876704969e-8	1.1615387142459267e-9	0.988804189691096	0.14425758032731378	0.9775557739770102	-0.1481124656668791	0.9887125940948228	0.0009478868181084498	-0.0031956099896102547	0.0033332285588661054	0.0026518654284542905	0.00023567533393734855	0.0030528019937475295	0.0002935852674935185
0.2	0.04047199546210103	0.9205181379279099	0.9998327572784319	0.018277772664369644	0.000611025946264694	8.318895538595349e-5	0.9996655425269917	0.00033407697357037817	3.7335270700866463e-7	6.92040229820616e-9	0.9800628710741887	0.18794345314012934	0.9602382189307066	-0.195281025864427	0.9798939310751336	0.0015812357217640453	-0.005519244260493707	0.005741285885128469	0.004146710100926761	0.000550582616985363	0.004992568442223936	0.0006766153408941569
0.25	0.06358035366808867	0.8765661536267578	0.9997308379370267	0.023172156989702004	0.0011316877483259669	0.00014647350587781134	0.9994617483222694	0.0005369488595553954	1.280717159711097e-6	2.1454487924137233e-8	0.9688429462151182	0.22848264466246476	0.9382185633261387	-0.2405673469615745	0.9685694198114528	0.0023528681414705065	-0.008272146308620474	0.008600255405647567	0.0056760203534756	0.0010444910507711458	0.007157231346369582	0.0012897704543436625
0.3	0.0920643081927957	0.8237690262276594	0.9996024232583405	0.02813364360074249	0.0018547025131919446	0.00022760192608000697	0.9992050045839465	0.0007915019022535989	3.4399214124405156e-6	5.180263675532896e-8	0.9551732252023551	0.26591589652027453	0.9116968272104968	-0.2835265906717811	0.9547661663274679	0.003191546056746844	-0.011310273771286447	0.011751947030759902	0.007146636621448215	0.001704262909891837	0.009403796681135812	0.0021410630959276325
0.35	0.1260769291938955	0.7626533224695705	0.9994459322159096	0.0331687006644474	0.002744697898807628	0.0003390660615719264	0.9988921714229286	0.0011001627037677136	7.533366555719009e-6	1.1496579410989737e-7	0.9390795326478938	0.30055479277991776	0.8809018478288856	-0.3237409735751702	0.9385074765177654	0.004069627100075058	-0.014507286356867625	0.015067289808516423	0.008556152827542282	0.0024818576122351346	0.011643517863313413	0.0032014127421404123
0.4	0.16578554694277492	0.6938439429478007	0.9992644502705245	0.03815656943920526	0.0037844559883740826	0.00047844844250826947	0.9985294415744534	0.0014559237913688925	1.4322107127940455e-5	2.2891291213858884e-7	0.9205953157618928	0.33280087463838126	0.846115861798039	-0.3607955108787697	0.9198290342539263	0.004879621895291877	-0.01771795658911454	0.01837761397828236	0.009887840123672172	0.0032952747580142633	0.013753803043884294	0.004391219169822443
0.45	0.21135596746065236	0.6180371709609352	0.9990565615487855	0.04314493597909212	0.0048898820674100835	0.0006392306487196362	0.9981140131736823	0.0018614855006399578	2.391094663317871e-5	4.08615822262527e-7	0.8997611501967533	0.36306417778561345	0.807652496728293	-0.394313151119287	0.8987688338038136	0.005534101749284517	-0.02089745159254986	0.021617811296114106	0.011222040892311876	0.004088195097188323	0.015770631901103498	0.005635136660289489
0.5	0.26303174424572456	0.5359947027341223	0.9988228356655413	0.04811356181266997	0.006077275142402067	0.000828272978396919	0.9976470570469529	0.0023149148303016143	3.693327315645806e-5	6.860361267425031e-7	0.8766199867823931	0.3916131526951037	0.7658595238600316	-0.42394563960025844	0.8753689025908943	0.005966609041992773	-0.023987041361941755	0.024717980839046996	0.012580139820982252	0.004842296655885897	0.01770962788177923	0.006880915962896909
0.55	0.32106005306534363	0.44855820059292456	0.9985639323668225	0.053044768121026986	0.007369786951670117	0.0010536899836398961	0.997129927023892	0.002813747425013521	5.431375971300712e-5	1.1102625816230445e-6	0.8512245411928258	0.4185961051874399	0.7211203018911038	-0.4493801379695685	0.8496805271400922	0.006127722183767821	-0.026941238739301866	0.027629320005557498	0.013965411075582586	0.005566449764862605	0.019598172875333067	0.008093722824938102
0.6	0.3856781273055586	0.3566107964395838	0.9982777010500338	0.05799142538864064	0.008672191816883383	0.0013355099203533163	0.9965583684137406	0.0033630054186062743	7.520691090881912e-5	1.783586747362121e-6	0.823628749452573	0.44412329233842895	0.6738399765345576	-0.47033598498365464	0.8217519411273927	0.005994227165167364	-0.02976146572886492	0.03035911068588854	0.015400178014732313	0.006304263632349663	0.021525809281850272	0.009279371908340828
0.65	0.4571508264394033	0.26111643946991414	0.9979644389441635	0.062939420407052	0.009998010726415674	0.0017687884821457021	0.9959330213971391	0.003961370641175634	9.996021848552287e-5	3.1286126945712967e-6	0.7939008592492343	0.46813231454569343	0.6244589073963261	-0.48657611241525645	0.7916471690088696	0.005556350006726747	-0.032415144605851036	0.03288791001592357	0.016849612344701177	0.007090265935083356	0.023494606667877928	0.010459227360309381
0.7	0.5356350935061815	0.16306048213534746	0.9976237670449554	0.06789580124984324	0.011318127994458565	0.0022834921932915146	0.9952531805729674	0.004609839827358214	0.00012810002129894665	5.214336596823292e-6	0.7621098774987461	0.49058201831391524	0.5734347473768621	-0.4978993493684291	0.7594281872571432	0.004808797159601965	-0.03487927442097806	0.03520920780500593	0.018294163317062587	0.007946143213573675	0.02550817538301551	0.01167158891429336
0.75	0.6211994011185303	0.06348105671250764	0.9972541014378252	0.0728804643651971	0.012622055514368779	0.002860034321164921	0.9945157428345642	0.005311562086086764	0.00015931628540780728	8.179796318241291e-6	0.7283380919195476	0.51141687656046	0.521247546763149	-0.5041501110098656	0.7251664218907692	0.0037631578344206277	-0.0371371882551853	0.03732736406964513	0.019730139310105005	0.008871701991602005	0.027557151728217502	0.012949535030199091
0.8	0.7138879963356404	-0.03657927098168422	0.996856630856118	0.0778646907845844	0.013944537352353665	0.0035009020754523897	0.9937231424818107	0.006062910070978943	0.00019445012197118658	1.225631534190685e-5	0.692670413476726	0.5305793833612876	0.4683898221203002	-0.5052161681424867	0.6889357023833674	0.0024274522176551305	-0.03914823087416512	0.03922341781188802	0.02114264704348351	0.00983221686257342	0.029585618332091362	0.01429368884592172
0.85	0.8133181451101849	-0.13604193332823294	0.9964303997883934	0.08286315796893567	0.015255664849071692	0.004180676150722962	0.9928735416224576	0.0068663029485847875	0.0002327353099872016	1.7478053077223766e-5	0.6552082111933699	0.5480971953275702	0.4153690173998288	-0.5010317970888251	0.6508181637829086	0.0008192432536044207	-0.040895274110818565	0.040903479119844606	0.022553378134988325	0.010804190723860033	0.03159108980641556	0.015699750544228425
0.9	0.9189380610876199	-0.23384285011945347	0.9959749211441147	0.0878770286387071	0.016563128183743236	0.004876451615827308	0.9919660435480254	0.0077223721623681475	0.0002743372152311095	2.3779780361504762e-5	0.6160572315896166	0.5639793623631665	0.36269885443457006	-0.49156833722435794	0.6108926985728914	-0.001046482534392865	-0.042366393335469384	0.04237931582683342	0.02397523376194817	0.011765170993977406	0.03356721550648224	0.01714136781354171
0.95	1.0297977807676322	-0.3289319919537146	0.9954894016143815	0.0929156255057535	0.01784878268237521	0.005571435854436161	0.9909991487265594	0.00863331346312543	0.00031857904324265716	3.10408974800968e-5	0.5753316738870287	0.5782723411500168	0.3108986501219996	-0.47683207609472755	0.569233519252415	-0.003149766863076195	-0.04356765681194852	0.04368136618027711	0.02542161507345496	0.012724083549098028	0.035544194602115275	0.01858824950175357
1.0	1.1446543032100882	-0.4202817095386572	0.9949721033661048	0.09798981807364217	0.019125481127247778	0.006260920047212502	0.9899694864767706	0.00960200444610549	0.00036578402834871093	3.91991198375874e-5	0.5331581443130581	0.590929842489315	0.260482607736539	-0.4568673973228718	0.5259077938857747	-0.005480110216758299	-0.044522342286668064	0.04485833892019465	0.026883299174051148	0.013700392599364924	0.03753385862872263	0.020040624524502323
1.05	1.261932397872532	-0.5068875145985262	0.9944243018669606	0.1030802495480421	0.020387601071328712	0.0069732296328601845	0.9888796921435921	0.010625537846886633	0.00041565427744364364	4.8625931512599386e-5	0.4896876064879907	0.6019390659656457	0.21196688434573396	-0.43175582236133964	0.48098134080456223	-0.008022003844913242	-0.045267186862303535	0.04597249995502212	0.02833971495819093	0.014706754029330013	0.03953124659103677	0.021496139534372585
1.1	1.380364939331728	-0.5877846407921409	0.9938447986853668	0.10819223651064305	0.021652085645523744	0.007686386893587485	0.9877274838739573	0.011705560041174923	0.00046881281280109535	5.908054347791347e-5	0.44509503339459927	0.6112954208624157	0.16587481021441675	-0.4015839690096407	0.43449296522406994	-0.01076949523709285	-0.04590147896343333	0.04714793525375505	0.029795634496380216	0.015742178897610995	0.04153804934084117	0.02295568163122308
1.15	1.498494153323932	-0.6620876270233723	0.9932311829851297	0.11334965045150809	0.02289211023325489	0.00837761450212507	0.9865081828540402	0.012848143257479069	0.0005240487109314933	7.018442474621627e-5	0.399574165459739	0.6189816204902889	0.12272976203584524	-0.3664004333013352	0.3864089440124043	-0.013750591177603182	-0.04660033906779609	0.04858673027655948	0.03126012288742264	0.016810910886557853	0.04356802697863482	0.024443458527981743
1.2	1.6141216854308242	-0.7289828131039576	0.9925823846880263	0.11854669136757312	0.02410516050802853	0.009162092186634115	0.985219790392969	0.014053318034198636	0.0005810587631178183	8.39439332363819e-5	0.3533659394668568	0.6250478824429803	0.083068436249353	-0.3261664591833694	0.3365782586518764	-0.017021935817639177	-0.04767262044128866	0.050620401408118056	0.032728128341144386	0.017909555328490506	0.04560884439456958	0.02598751002629021
1.25	1.728040358946351	-0.7877132597584567	0.9918968477084404	0.12379147068409639	0.025301388983264613	0.00997364356444088	0.9838593564939411	0.015324328214131495	0.0006401602844824639	9.947356595051299e-5	0.30681757875237176	0.6292912662448914	0.04750214824853938	-0.2806084074170708	0.28460065425323783	-0.020742275666590336	-0.04972416292708876	0.05387703015783715	0.034181193540887625	0.019002894406644544	0.04761307714581803	0.027566205462051324
1.3	1.837844311404913	-0.8376528230460881	0.9911806556706704	0.12903606666779577	0.026468102564043763	0.01074986225853259	0.98243909217574	0.016650306501095835	0.0007005604533407401	0.0001155595385774234	0.26039801233185245	0.6318961648298916	0.016840179468433913	-0.22863476397519084	0.2292541099795602	-0.02527508029457232	-0.05420945704937538	0.05981216362484434	0.035640703558617814	0.02007223534136246	0.04958468151648798	0.029147003571467822
1.35	1.9436971825336742	-0.878253258174107	0.9904285206452758	0.13431004411349504	0.027626680650108534	0.011556608202165223	0.9809486545075894	0.018039187949768984	0.0007632334837430813	0.00013355519313835252	0.21487522727418876	0.6328634779083071	-0.006790859414082362	-0.1653770963363379	0.1655164637255769	-0.032383224190699125	-0.06641200462006487	0.07388658583694742	0.037097665693819754	0.021149751547475254	0.05154806034034057	0.03075113620056022
1.4	2.0419705333651916	-0.9090665974553287	0.9896359886103846	0.13963125302141793	0.028832521366486185	0.012353493198562748	0.9793793899528532	0.019496886820331235	0.0008313142883488824	0.00015260879420693607	0.17168974731091563	0.632127223624263	-0.07868374115603691	-0.08312227943578446	0.11445717304263132	0.01356885886730022	-0.09450741304021376	0.09547651570158118	0.038560665729394594	0.02223779274925458	0.053519193531732706	0.03232933740864363
1.45	2.1351349984666546	-0.9297794871242335	0.9888048400529541	0.14498033546338818	0.03005946827412871	0.013204644717260869	0.9777350117121482	0.021019297671076572	0.0009035716329233506	0.00017436264210908537	0.13383011239502637	0.6297839927781431	-0.1185415199537738	-0.05218483689421961	0.12951968635936104	0.03259801353719468	-0.06866640450124459	0.07601122018294187	0.040014353605973635	0.023343380915814754	0.05548482555273054	0.033922804486097136
1.5	2.0288035969627267	-0.9401936221793749	0.9879321921520599	0.15037651855474365	0.0312914170475168	0.014075317090467202	0.9760100162903745	0.022613097332645164	0.000979152780841625	0.0001981145511971981	0.10768759209455166	0.6257614326750066	-0.14224592045463308	-0.013713684134256339	0.142905447826596	0.04082941601923899	-0.04825057977922208	0.06320727538427173	0.0414669743851212	0.024449108439887124	0.05743748937891657	0.035499142056719446
1.55	1.9057922372985552	-0.9402293218851397	0.9870212610017013	0.15581123486805828	0.032464655123480284	0.014884583543923597	0.9742109696693886	0.024277140911109222	0.0010539538322865147	0.00022155082727604115	0.10296491604259818	0.6201656818567058	-0.15605761743330762	0.028945238919177142	0.15871927045903672	0.044729760026377144	-0.030458139747538214	0.05411515230411769	0.04292419437205536	0.025571087518306584	0.05939813364905372	0.037076922727923955
1.6	1.786996657813162	-0.9299429832640601	0.9860712120294676	0.16126955953089678	0.033635497515052654	0.015669798347340256	0.9723364351932632	0.02600787083128946	0.0011313466930851133	0.0002455425802463074	0.12218109672603734	0.6130195740037874	-0.16189652182805922	0.07464748262866791	0.17827711699155485	0.046379924399786054	-0.014709387312503732	0.048656587040596215	0.04436905414324405	0.02670157608270768	0.061344315319854736	0.0386633541542461
1.65	1.670635380173079	-0.9094947721025829	0.985082198867028	0.16675340607544137	0.034781894360941826	0.016403379185181765	0.9703869385246988	0.027806698437761047	0.0012097801753357168	0.0002690708486928544	0.15658549594955398	0.604394361535215	-0.16081214071796318	0.12265838156701592	0.20225138607914078	0.046908772092827775	-0.0008416875543565303	0.046916322716044324	0.04581351678567189	0.02783827376323897	0.06328484647536325	0.040267742613145835
1.7	1.558395369447686	-0.8791704246865527	0.9840508817449627	0.17226976706335861	0.035931071532099394	0.017185036704077682	0.9683561378630385	0.029676872644063837	0.0012910419014448436	0.00029532548652049716	0.19812406020689013	0.5943162942365319	-0.1535949468642891	0.17229409713865848	0.23081738151852704	0.04713713347007199	0.011235389768173603	0.04845764475310538	0.047263705494801383	0.028969887305366676	0.06521244075642518	0.04188500159767808
1.75	1.4493018622776483	-0.8393698740293212	0.9829745569169254	0.17781993326424628	0.037119176552262594	0.018336779368064257	0.9662389795460258	0.031619928666101	0.001377833267918041	0.000336237477593067	0.2428016635415771	0.5827883666852537	-0.14092518642735774	0.2228139577732235	0.26363984514513994	0.04771587904031242	0.021684777722778634	0.05241216173252199	0.048722666682359556	0.03007744989356745	0.0671121321758287	0.04349029392223641
1.8	1.3441639343765885	-0.7906037937121346	0.9818563493034008	0.18339888906534982	0.03827074988932488	0.019689929301891004	0.9640418906674019	0.03363515251040449	0.00146465029709126	0.00038769331591346595	0.288752302256916	0.5699341047362396	-0.12336956864000403	0.273390498862636	0.29993735235008934	0.04912887422103178	0.030752884526071562	0.05796021211917579	0.05019062590575443	0.03118617453702549	0.06901364552949041	0.04509986483411882
1.85	1.24221252226875	-0.7334804091959334	0.9806967281061125	0.18899872733539533	0.0394402237550138	0.0211021276718798	0.9617660725180344	0.035720518934399106	0.0015555312498455546	0.0004452997922803152	0.3350300648570047	0.5557404727903269	-0.10133402320876916	0.3231766364630404	0.3386911906371932	0.05164235528586788	0.038721097231751815	0.06454654313208869	0.05165816128025405	0.03227160966253673	0.07088722203596048	0.046674989335229566
1.9	1.1444199356855729	-0.6686974537667764	0.979496201855055	0.19460279483807105	0.04061150732412947	0.022571095859523604	0.9594128094484787	0.037870247758788375	0.0016492945271378216	0.0005094543682998036	0.38107354520594844	0.5402987718816077	-0.07511901746148497	0.37138409369194086	0.37890501689970163	0.05535547772202121	0.0458151014004891	0.07185577520401741	0.053113974090410715	0.03333730438305568	0.07272629664929253	0.048222832133994864
1.95	1.0498010361995322	-0.5970217554784172	0.9782510493636033	0.200208469298818	0.041872536077300904	0.02410115338698061	0.956975115580991	0.04008343117897575	0.0017533092775448658	0.000580865594582767	0.4265147520157955	0.5236666418299477	-0.044971457773046786	0.41732861944166155	0.41974469456958724	0.060257230367327774	0.05218979879641402	0.07971642810582638	0.05456579340379114	0.0343993229734994	0.0745517673399887	0.04971970484113003
2.0	0.958988071845277	-0.519301972082386	0.9769587875551711	0.2058520023172071	0.04319012915173172	0.025693106061117296	0.9544484725812699	0.04237504685800344	0.001865387256143266	0.0006601356990678224	0.47107174754918457	0.5059189119660303	-0.011152750567476999	0.46041453165157026	0.46054958994787426	0.06630405731823426	0.057937121337688684	0.08805076970565195	0.05602801555465206	0.03547414332472698	0.0763921611541723	0.05119990381327466
2.05	0.8722714730240521	-0.43643547290068235	0.9756183921376976	0.21151268929359002	0.04451126204587861	0.02735086150696908	0.9518312470773463	0.04473761773220675	0.0019812524489168735	0.0007480696251734028	0.5145384943523784	0.4871385243319491	0.026066208451596684	0.5001547263186985	0.5008335027551315	0.07340155192298856	0.06307177223244197	0.09677725082499618	0.05748797632944597	0.036562303887606895	0.07823087520360533	0.05268102841335609
2.1	0.7897096103957308	-0.34938064336894065	0.9742309920553184	0.2171733237243561	0.04589983763048519	0.029067139719545287	0.9491260258810899	0.04716425253748397	0.002106795094504904	0.0008448986114755673	0.5567355479500795	0.4673772301693942	0.06638104171704695	0.5361323323350027	0.5402261752955053	0.08144829203122313	0.06757361098393914	0.10583013359252716	0.058947887781367864	0.037640718776759646	0.08004916321671907	0.05414412441247446
2.15	0.7115378613008903	-0.2591288521935008	0.9727954670722683	0.22283736859945116	0.04738282198708402	0.030844864584069327	0.9463310207563526	0.04965649284432766	0.0022451318194596924	0.0009514056712095743	0.5975046666336481	0.44672088959609196	0.1094401592394485	0.5679929924500435	0.578440306277762	0.09035069144144263	0.07140541468447699	0.11516067336642703	0.06041944287866419	0.03871186574627972	0.081862849169906	0.05560393176813805
