time	rate	amplitude_real	amplitude_imag
0.0	-5.5511151231257815e-17	1.0000000000000002	0.0
0.05	0.002522834272504455	0.9282488987769928	-0.3440546680262972
0.1	0.01010289113992565	0.7285746949035554	-0.6257281590487752
0.15	0.022775146513801043	0.44340029676947085	-0.7980161882859725
0.2	0.04059889630460144	0.13046204523924448	-0.8400344690674585
0.25	0.06365911433463715	-0.15222106593998772	-0.7601059769424086
0.3	0.0920680759047119	-0.36021658483756697	-0.5907701711248096
0.35	0.1259669946499953	-0.4714238304506399	-0.3778942883812285
0.4	0.16552736014441158	-0.4877265659998392	-0.16773032140243607
0.45	0.21095157166906559	-0.4300514719229164	0.00403839076409261
0.5	0.2624722899559147	-0.32933777807794984	0.11840694817862053
0.55	0.3203496031274691	-0.2168044588679132	0.1734493046746997
0.6	0.38486453893876615	-0.11649516936676126	0.18010542656253162
0.65	0.4563065723974073	-0.04173695126454742	0.15568363849685124
0.7	0.5349515743689679	0.004479766135242862	0.11759233622108484
0.75	0.6210253931452481	0.02645452619560263	0.07909357194483627
0.8	0.7146479044428693	0.03182892769573194	0.04770619939050023
0.85	0.8157550655525713	0.02825174729169169	0.02581923652315313
0.9	0.9240053090005261	0.021453420901295442	0.01248546987932057
0.95	1.0386912000098276	0.014751667445883208	0.005343043819109294
1.0	1.1586842356390306	0.009502247695654017	0.0019913262195381237
1.05	1.2824206409914025	0.005883936467687001	0.0006381306078293827
1.1	1.4079514321283748	0.003576978811248724	0.00019149793449310844
1.15	1.5333293396062029	0.002167554500154202	8.879305315510466e-5
1.2	1.6576840994718014	0.001316312787973616	8.709921748788121e-5
1.25	1.7811095210101568	0.0007981122562139	0.00010649056930245028
1.3	1.8976380654693095	0.0004886811027760996	0.00012813981985408847
1.35	1.989260729264993	0.00032381544124738474	0.00013332133812098048
1.4	2.06362177761335	0.0002444191396371795	8.89129550142127e-5
1.45	2.1808733878284317	0.0001620067852283547	-1.5194160363513759e-5
1.5	2.2789880658037114	-1.2057282021519199e-5	-0.00010923519759479736
1.55	2.050374419364593	-0.00027128341469712363	-4.017806772043265e-5
1.6	1.8846856936927374	-0.00042660526963993976	0.0003179658927419237
1.65	1.7589064895952378	-0.000147804431470752	0.0008674653132747859
1.7	1.643683601803106	0.0007931723826622196	0.001147778205330918
1.75	1.5297647144465245	0.002154424118401217	0.0004480751948095652
1.8	1.4174796358381025	0.002981849959982465	-0.001731554969576608
1.85	1.3088138402198128	0.0018030865186723843	-0.005010933049596374
1.9	1.2046604237696714	-0.002586379964090697	-0.007652497100035963
1.95	1.1050679273251929	-0.00994410273534841	-0.006771919187093815
2.0	1.009860711946782	-0.017600864679369638	0.000475245293672503
2.05	0.9189255347952195	-0.020454570568428847	0.014943264635564118
2.1	0.8322562141860803	-0.012482221608699886	0.03358335234399391
2.15	0.7499148361368362	0.010341438869486515	0.04871854056819091
2.2	0.6719872420504223	0.046676669957475575	0.049477780983738374
2.25	0.5985534211135388	0.08758498468961044	0.025581449376756785
2.3	0.5296721011503003	0.11700768846455575	-0.02747064177009126
2.35	0.4653751141098354	0.11573043464567583	-0.10376810360783878
2.4	0.405668066767386	0.0681984915350702	-0.18521367773856795
2.45	0.350534857991983	-0.029923198439309732	-0.24424377723747281
2.5	0.29994408163095787	-0.1664040741035772	-0.251133886382603
2.55	0.25385570278888253	-0.31200217112413176	-0.18406290517016524
2.6	0.21222682341762003	-0.42613524520992174	-0.038625798341327636
2.65	0.17501586288563814	-0.467677027738109	0.16686482474660738
2.7	0.14218497501130922	-0.40777653993438695	0.3928668217978221
2.75	0.11370090810098958	-0.24046767534125585	0.5872458068177007
2.8	0.0895347327229731	0.012772010429136536	0.6988592611389499
2.85	0.06966090735852036	0.30649145407024314	0.6919708797402493
2.9	0.054056060528029276	0.5820615656476212	0.556886537454381
2.95	0.04269769900654579	0.7825917487862486	0.31336183073660717
3.0	0.03556286850813624	0.867384239687674	0.005719974908805675
3.05	0.03262664716211443	0.8215840039891041	-0.30865918721269386
3.1	0.03386027510824919	0.6584054737940245	-0.5737669991708051
3.15	0.03922872722702476	0.4138274082722399	-0.7479239508298047
3.2	0.04868761550629031	0.13599297533998364	-0.8117270306529032
3.25	0.06217944647913821	-0.12708005572726858	-0.769375538683185
3.3	0.07962943291778236	-0.3378546386510658	-0.6439814937136121
3.35	0.1009412330028628	-0.47522791352514837	-0.46916597769703094
3.4	0.12599311277681402	-0.5353674463683299	-0.27991061468296174
3.45	0.15463502253906175	-0.5283539721954671	-0.10522586418277056
3.5	0.18668685534673837	-0.4725414677381687	0.03592978640558633
3.55	0.22193767756150354	-0.38869016910824344	0.13534563445435913
3.6	0.2601451526424202	-0.2953935784440757	0.19372108456941042
3.65	0.3010343060621767	-0.20647936564568986	0.2175699447120981
3.7	0.3442963014373031	-0.1302979706263627	0.216035919782277
3.75	0.38959214436445466	-0.07035495608188413	0.19837253308429156
3.8	0.4365726821127109	-0.02662778475205164	0.1723751667257534
3.85	0.4849299379879451	0.002976652276141412	0.14371340464353788
3.9	0.5344849787504119	0.021371931715235708	0.11594418656798672
3.95	0.5852842232109279	0.031424329849863444	0.09094201922177197
4.0	0.6376262567111285	0.03551577968606828	0.06949259691777325
