time	rate	amplitude_real	amplitude_imag
0.0	2.7755575615628914e-17	0.9999999999999999	0.0
0.05	0.0010950341671588052	0.9704995284634864	-0.22228056889195244
0.1	0.004358126216545784	0.8843622547040544	-0.4285314164026991
0.15	0.009723864280118616	0.7484579819050841	-0.6041262227175742
0.2	0.017085429503112263	0.5735179894910257	-0.7371047550512166
0.25	0.026298334791527746	0.37313751179963484	-0.8191698654646234
0.3	0.03718639152850743	0.16252967536034443	-0.8463233860223519
0.35	0.04955029994597032	-0.0428399381707898	-0.819085265715663
0.4	0.06317890628579663	-0.2285993991667773	-0.7422854466351558
0.45	0.07786255902553034	-0.3826645890549649	-0.6244631435051541
0.5	0.09340725398099231	-0.4961693658691754	-0.4769481151023027
0.55	0.10964763983379247	-0.5640518819580311	-0.31272873140777413
0.6	0.1264567653338657	-0.5852568226975545	-0.1452290128910923
0.65	0.1437508769773766	-0.5625554647713646	0.012880100017200021
0.7	0.16148855227042358	-0.5020250787772214	0.15072084316307183
0.75	0.1796646506310095	-0.4122618710589964	0.26000844282754076
0.8	0.19830057080405467	-0.3034240189309426	0.33555029001413234
0.85	0.21743285448829355	-0.18621151316673343	0.37541974051106053
0.9	0.23710224993361595	-0.07088721249473362	0.38081531975171046
0.95	0.2573450813239974	0.03356998565579641	0.35564741512387926
1.0	0.2781882719879951	0.12011109812535307	0.305918380390088
1.05	0.2996486242821541	0.1840207727964597	0.2389763082566758
1.1	0.3217358738046084	0.22306635058825297	0.1627268667236784
1.15	0.3444576374848857	0.23740681305395128	0.08488219345847284
1.2	0.3678230280429013	0.2292982478867682	0.012312665173852943
1.25	0.3918411834111336	0.2026477616754515	-0.049451068901822895
1.3	0.4165122365801851	0.16247545171487293	-0.09653922144076958
1.35	0.44181207032407416	0.11434438115564301	-0.1268810576575735
1.4	0.4676785463832149	0.06381265279234685	-0.14017183391056923
1.45	0.4940143771777958	0.015951424016960064	-0.1376937647577809
1.5	0.5207266891433134	-0.02503991641933852	-0.1220249523499313
1.55	0.5478189590095542	-0.056103235885366275	-0.09667401759655625
1.6	0.5755309076925945	-0.07546953914262927	-0.06567786663961242
1.65	0.6044889232369264	-0.08268872391900745	-0.033196747751980796
1.7	0.6357999041489952	-0.07855189647250213	-0.0031357631102560436
1.75	0.6709965440814004	-0.06492174995050948	0.021183583372954392
1.8	0.7116282474202681	-0.044489482163017714	0.03728361335464177
1.85	0.7577433513215667	-0.020478569759114683	0.04370913923569657
1.9	0.8029482528089084	0.0036829331266769842	0.040115611673131546
1.95	0.8256562468253595	0.024698654599375494	0.027262085677857137
2.0	0.80272078952362	0.039724640857828876	0.006909049191898288
2.05	0.7482460152389003	0.04664976778557316	-0.0183732975045169
2.1	0.6892050835595764	0.04431140941950159	-0.045474197352602316
2.15	0.6371217919732507	0.032624193598375775	-0.07106956592251851
2.2	0.5942187076684452	0.01260445304191875	-0.0919806652772059
2.25	0.5600918166143666	-0.01371938139941669	-0.10553136984016932
2.3	0.5339097758831074	-0.04350987207677958	-0.10986725621467651
2.35	0.5149682765442269	-0.07342432555522999	-0.10419935719080553
2.4	0.5028069623594054	-0.09999352638907633	-0.08893945486665802
2.45	0.49723051030470083	-0.12003806312128074	-0.06570259427377918
2.5	0.49832813335965326	-0.13107618341146374	-0.037165697035718356
2.55	0.5065262597701716	-0.1316732358583573	-0.006787584722415953
2.6	0.5227069387792226	-0.12168494485865514	0.02158647443393903
2.65	0.5484560993576773	-0.10235553825338994	0.044195746074588094
2.7	0.5865997875171417	-0.07624668196197716	0.05785722492026789
2.75	0.6424737309753531	-0.04699286530634565	0.060420124622159704
2.8	0.7273755018326744	-0.018901052803720998	0.05112056837818034
2.85	0.8685288778896584	0.0035657989085393083	0.03078339708458279
2.9	1.0266160992532793	0.016363451804665065	0.0018338297766015907
2.95	0.8319015851345404	0.016429431523535855	-0.0318962084085707
3.0	0.6810749502777584	0.0021610135771188248	-0.0655565058659536
3.05	0.582154415895633	-0.026259149225004365	-0.09382498263550063
3.1	0.5100672748684797	-0.06674155791709281	-0.11155237768659508
3.15	0.45424498444167527	-0.115400983278316	-0.11442903608044636
3.2	0.40951718768134826	-0.1669000819180498	-0.09959035896105072
3.25	0.37300091412111036	-0.21499538774718588	-0.06608087178643636
3.3	0.342921940259901	-0.2532279874610654	-0.015110991910322506
3.35	0.3180931794514009	-0.27567993894936665	0.04993598130576585
3.4	0.29765379970842243	-0.2777056877215863	0.12375913917436016
3.45	0.28092744990390606	-0.2565473224810893	0.19963721930150397
3.5	0.26734317133182	-0.211753930931532	0.27011631127014113
3.55	0.2563947781056457	-0.1453474067689473	0.32781094747461004
3.6	0.24762729638465228	-0.06170716659386197	0.36622524319606964
3.65	0.24064330266906778	0.03281944310180245	0.38049610148955176
3.7	0.23512186790645365	0.1305401833196773	0.36796830311571166
3.75	0.23084096105457128	0.22320417716283725	0.32853071907635667
3.8	0.22769326305563642	0.3028604215336726	0.2646714960572
3.85	0.2256875007336872	0.36268826795510833	0.18124419777629008
3.9	0.2249327289736318	0.3977029199421153	0.08497210271429848
3.95	0.22560913701033877	0.4052545545794188	-0.0162504260584019
4.0	0.227932828335319	0.38526538659282816	-0.11417647895084179
