time	rate	amplitude_real	amplitude_imag
0.0	-0.0	1.0	0.0
0.05	0.002501037141954526	0.9897365604258229	0.0247402800229377
0.1	0.010016627173021007	0.959528140564131	0.04795113655350356
0.15	0.022584454161554277	0.9110701490116547	0.06824404169914948
0.2	0.04026816172963734	0.847026166646802	0.08449601655488094
0.25	0.06315864132654896	0.7708034342098574	0.09594394856694252
0.3	0.0913759030316683	0.6862733712107958	0.1022384663465734
0.35	0.12507159865808487	0.5974666185837012	0.10345251950441556
0.4	0.16443228971223017	0.5082737314060654	0.10004558391518213
0.45	0.20968357573678498	0.4221805246805496	0.09278989301957759
0.5	0.2610952181738315	0.3420615963194985	0.08266952987146503
0.55	0.31898740256398295	0.27004755712250883	0.07076601814663695
0.6	0.3837382585794843	0.20747213562908814	0.05814489145343943
0.65	0.45579266210919783	0.15489588002854077	0.04575656374168888
0.7	0.5356720896778793	0.11219488234924369	0.034361928204839846
0.75	0.6239847006459378	0.07869680956251629	0.02448898313398986
0.8	0.7214335057965096	0.053343190311184494	0.016422087962051947
0.85	0.8288176543407184	0.034856587671415765	0.010220912735452259
0.9	0.9470159565290411	0.021893757579001024	0.005762421851694264
0.95	1.076929837282795	0.01317053561650812	0.002796830364313911
1.0	1.2193407074054887	0.007550129707785629	0.0010076578287425853
1.05	1.3746028822421557	0.004092723477859914	6.678348533262278e-5
1.1	1.5420708170039177	0.002069859614853619	-0.00032247550268231756
1.15	1.719255191462424	0.0009512104968956048	-0.00039824132033229435
1.2	1.901131640396866	0.00037359002617161265	-0.0003295830586399598
1.25	2.080702459160025	0.0001023051703666468	-0.00022031810395612653
1.3	2.2513567532607905	-6.575665492395549e-6	-0.00012256560551255182
1.35	2.40659739118743	-3.7228636702010556e-5	-5.445531260327347e-5
1.4	2.5346247222607086	-3.5868572698045985e-5	-1.6610711513999864e-5
1.45	2.657001728141734	-2.3989247169887615e-5	-3.3920098422030726e-6
1.5	2.896488404741699	-6.036916573432666e-6	-7.06870163766078e-6
1.55	2.612276717386809	2.441015254040662e-5	-1.5609138629985535e-5
1.6	2.369499151288137	7.618879321715432e-5	-7.08032174209837e-6
1.65	2.189128509045231	0.00014760131293478803	5.47615826480359e-5
1.7	2.0258378221422677	0.00020911280626552474	0.000218614635525803
1.75	1.8700264347461184	0.00018443513047020717	0.000533200514891445
1.8	1.72101404239736	-6.509226119095037e-5	0.0010219111857699707
1.85	1.5790786643938866	-0.0007467550057384223	0.0016450292786914654
1.9	1.4441722964075596	-0.0021275300746919617	0.0022532553522082465
1.95	1.3161152216094678	-0.004505929474825192	0.0025393015666861445
2.0	1.1947527135860798	-0.008163718578222075	0.0019965197122542404
2.05	1.0799784041831895	-0.013300613404284213	-0.00010558451342083789
2.1	0.9717140866434935	-0.01995924905623639	-0.0047198518973161725
2.15	0.8698883007966887	-0.027951285036109826	-0.012987329404661819
2.2	0.7744228579379087	-0.036797714439533384	-0.026167741048113244
2.25	0.6852265751956474	-0.04569669152566794	-0.04553670599699504
2.3	0.6021939985724255	-0.05353019578027147	-0.07225702081296044
2.35	0.5252072013644953	-0.05891668220850636	-0.10723602536596702
2.4	0.45413922652850547	-0.06031097335255605	-0.15098454522814503
2.45	0.38885816586813043	-0.0561457987786555	-0.20349453777663404
2.5	0.32923122315735387	-0.045002570669179294	-0.2641519973758812
2.55	0.27512838789167815	-0.025793258405758895	-0.33169883680438866
2.6	0.22642554919984942	0.0020684455055475504	-0.4042526250100353
2.65	0.1830070127771435	0.03852937958867707	-0.47938679097438736
2.7	0.14476746154080217	0.08281310072869849	-0.5542669886999421
2.75	0.11161343876872268	0.13340532780880424	-0.6258326610023013
2.8	0.08346444457592544	0.18811634207070405	-0.6910073264093084
2.85	0.06025373315818945	0.24421893001100478	-0.7469174874491793
2.9	0.04192888631052331	0.29865104392499114	-0.7910988126222787
2.95	0.02845222246399818	0.3482639299590086	-0.8216695491072378
3.0	0.019801081843015843	0.39009021486362105	-0.8374548034121923
3.05	0.01596800765613997	0.42160325636937285	-0.8380508879285915
3.1	0.016960819534074675	0.44093944197358037	-0.8238256313871658
3.15	0.022802546580122433	0.44705907121058874	-0.7958575109345323
3.2	0.033531149997986044	0.43982848630278826	-0.7558227917186612
3.25	0.04919891437304814	0.420015306761501	-0.7058447797133811
3.3	0.06987131546413641	0.38919875905322554	-0.6483222491786345
3.35	0.09562507176752379	0.349606833817073	-0.5857548340012909
3.4	0.12654494613703354	0.3039000798247307	-0.5205817268357058
3.45	0.162718671292578	0.25492723423258257	-0.45504676244966485
3.5	0.20422912382868882	0.20547996168002564	-0.3910984539688141
3.55	0.2511425803840772	0.1580725726541401	-0.33032851833922455
3.6	0.30349162342002933	0.11476804122428419	-0.273947605833258
3.65	0.361251197891365	0.0770646952274293	-0.22279298186751073
3.7	0.42430682272212716	0.0458496626024098	-0.1773602583179073
3.75	0.4924156625549883	0.02141671956920587	-0.1378501541450414
3.8	0.5651648460191937	0.0035387533153370043	-0.10422164007800395
3.85	0.6419373821601113	-0.008420430600506299	-0.07624441363656892
3.9	0.7219027307469498	-0.015373150777944542	-0.053546011209349154
3.95	0.8040519011701659	-0.018372110231181068	-0.035651461301177266
4.0	0.8872898759846585	-0.018487890341487016	-0.022015698836982484
