time	rate	s1	s2	lambda1	lambda2	o11	ood	tf1_re	tf1_im	tf1_abs	tf2_re	tf2_im	tf2_abs
0.6	0.3836570755260877	0.9997686937233308	0.021507185998869024	0.9995374409492551	0.0004625590495899478	0.8255090425634725	0.5642564748461874	0.8248313145387399	0.02823607088261046	0.8253144692434475	-2.5016748976231283e-6	0.00014701276572060687	0.000147034049329111
0.65	0.455653850781057	0.9996619426363726	0.026000008479706894	0.9993239995555264	0.0006760004409448304	0.7962941146747751	0.6046979266799374	0.7954017111065892	0.031327727838989385	0.7960184096883964	-3.745173958193271e-6	0.0002334111169475599	0.00023344116141478695
0.7	0.5354354789336527	0.9995271404868156	0.03074890925461248	0.9990545045697503	0.0009454954203483929	0.7650775550574805	0.6436140721627913	0.7639118567668943	0.03480329428326357	0.7647042527683572	-5.030854326560175e-6	0.0003574880619260959	0.0003575234592511815
0.75	0.6235827450354777	0.9993638389126355	0.03566395165972382	0.9987280825262	0.0012719174479871173	0.7319291649297366	0.6809036208839212	0.7304182992383591	0.038704397186328635	0.7314430409975983	-5.776605439042507e-6	0.0005309521775621322	0.0005309836005267662
0.8	0.7207523317057548	0.9991735080002502	0.04064850362996364	0.998347699089526	0.0016523008473551671	0.6969254344653119	0.7164654083198456	0.6949802835854239	0.04305269211624962	0.6963125224142768	-4.778006493351861e-6	0.0007680618588448791	0.0007680767203595625
0.85	0.8276642795024547	0.9989596413846418	0.04560301238713452	0.9979203651153321	0.0020796347387811442	0.660152533771037	0.7501978655729905	0.6576604540167301	0.047846106506662774	0.659398606826962	1.973685922416864e-7	0.0010861640810293054	0.0010861640989613846
0.9	0.9450611895248504	0.9987276545811415	0.05042887718477266	0.997456928025148	0.0025430716541168844	0.6217102370545607	0.7819990493947778	0.6185255466365203	0.053056010494925046	0.6207969008392711	1.3031040129558259e-5	0.0015064740940028904	0.0015065304523668571
0.95	1.0736089943730598	0.9984845761621439	0.0550322677350025	0.9969714488336961	0.0030285504920569972	0.581716821986348	0.811767375772185	0.5776468273446286	0.058625265559055735	0.5806141394275418	4.021926235804922e-5	0.002055237741777864	0.002055631232564051
1.0	1.2136846421024197	0.9982385579126253	0.05932773495876748	0.9964802185034778	0.003519780135337761	0.5403151367235792	0.8394030989308444	0.5350999132475386	0.06446693829017	0.5389692971682449	9.241888555816988e-5	0.002765502848020945	0.002767046666180347
1.05	1.364967965647125	0.9979982537547419	0.06324146467255218	0.9960005144975143	0.003999482853929665	0.497680382690202	0.8648104569457278	0.4909634056111917	0.07046325308088185	0.4959940883559803	0.00018702401647264236	0.0036798732812298404	0.0036846228231186473
1.1	1.525769822850319	0.9977721345552654	0.06671403542800641	0.9955492324949706	0.004450762523089295	0.4540308783462187	0.8879002838272217	0.4453153238926538	0.0764640389063313	0.45183236597159365	0.0003526779724755606	0.0048548844060831466	0.004867677510753848
1.15	1.6922288587794638	0.9975678142039589	0.06970256080519573	0.9951415439356642	0.004858446982802007	0.409644459735418	0.9085927866717688	0.39822533471466615	0.08228338804183642	0.4066373976360897	0.0006376428320104362	0.0063681342366650445	0.006399978284135016
1.2	1.858047610349424	0.9973914601084665	0.07218212539971848	0.9947897246972986	0.005210259227220684	0.3648859001869606	0.9268201243926205	0.34973832670916666	0.08769225006162289	0.360564596002156	0.0011264164098106135	0.008330266870022196	0.00840607875611929
1.25	2.015825036078295	0.9972473486497564	0.07414646272758582	0.9945022743889688	0.005497697935013274	0.3202562358196601	0.9425284151117589	0.2998382655316022	0.0924027357984962	0.31375348772570844	0.0019756266120901675	0.010905828059615182	0.01108332920093456
1.3	2.1598461907338358	0.9971376050936471	0.07560787068758125	0.9942834034918941	0.005716550109910008	0.2764861928501502	0.9556788467315671	0.2483606151125271	0.09603617123057444	0.2662816954349304	0.0035009015399779233	0.014350726658769946	0.01477158309821091
1.35	2.288080371491325	0.997062141403768	0.07659641225441569	0.9941329138206675	0.005867010370248401	0.23471816021616412	0.9662476631996003	0.19474175517291148	0.09806339886913731	0.21803848606517548	0.006426286022051343	0.019077560146981698	0.020130833395538218
1.4	2.4018198017840535	0.9970187787435895	0.07715849958145037	0.9940464451673586	0.005953434057660676	0.19685393364261342	0.9742249324164648	0.13705471470427355	0.09778230269382004	0.1683608432586855	0.01284689917764597	0.025683568258313763	0.028717390148829035
1.45	2.5040312172308554	0.9970035186877183	0.07735500036072708	0.9940160162756915	0.005983796080808086	0.16611818664882233	0.979612151487079	0.06631788319649998	0.09861474869256294	0.11883993559137415	0.031918199430685947	0.03065874932621948	0.04425754585542452
1.5	2.5979826318970756	0.9970109119817375	0.07725902621653503	0.9940307586106559	0.005968957131927247	0.1474026076446001	0.9824188945307187	0.002143181645000186	0.12500568401204265	0.125024054737007	0.04420542176504319	0.00949111306467624	0.04521283601624457
1.55	2.453396992094717	0.9970344682556749	0.07695355388133601	0.9940777308898764	0.005921849454967685	0.14554143517718754	0.9826588497793477	-0.045520540118168445	0.14265228239110364	0.14973908388941398	0.039937495974261716	-0.00355910508425098	0.04009577052127708
1.6	2.2737934562237876	0.9970670546518055	0.07652898301237814	0.9941427114720264	0.005856685240908861	0.16101738820539366	0.9803457299577848	-0.09130771092381423	0.15305179132554284	0.17821882308584672	0.03392439514470651	-0.010005203346658647	0.03536903560944482
1.65	2.105522768453828	0.9971012442439511	0.07608064883447113	0.9942108912728354	0.005788265127074113	0.1893782456241779	0.9754896829436288	-0.13726634917899216	0.15914912048484786	0.2101677738570536	0.02838458934691464	-0.012781037690190098	0.03112940469766552
1.7	1.9470147588036053	0.9971295933280176	0.07570619623337738	0.9942674258904979	0.005731428148126643	0.22547677805540012	0.9680949752716087	-0.18375738348564377	0.16252663528417624	0.2453195531593142	0.023841754676890172	-0.01343196023009325	0.027365065717001688
1.75	1.7970940932366604	0.9971448463078765	0.07550261810891934	0.9942978445183586	0.005700645341301314	0.26579050859895353	0.9581598163796992	-0.23064549840948567	0.16416861082823897	0.28310541979593723	0.020313553775843853	-0.012882189681807025	0.02405392437840768
1.8	1.6548986777058405	0.997140084134612	0.07556272017720062	0.994288347387981	0.005709724680577921	0.30825465168933835	0.9456790966955815	-0.27762248146166724	0.16470575383859914	0.32280369818277327	0.017633773601741242	-0.011683889190302096	0.02115332687897401
1.85	1.5198121759481695	0.9971088439175261	0.07597085980055843	0.9942260466185454	0.005771571538836105	0.3516644627479329	0.9306503179968636	-0.3243494818646893	0.16454530412955157	0.3637000735454683	0.015594454057972886	-0.010153079274900773	0.018608385640045366
1.9	1.3914079043671608	0.9970452414570563	0.07679805109396032	0.9940992135121597	0.005897940651830539	0.395280757221814	0.9130819722382629	-0.3705170436615882	0.16395934247389202	0.40517347596825026	0.014006880553022422	-0.008464387622500963	0.016365774062065786
1.95	1.269401321165127	0.9969441245799083	0.07809688751040571	0.9938975875343998	0.006099123838812963	0.4386195282543336	0.8930023060525469	-0.41586217292277516	0.16314107936522854	0.4467173140191725	0.012720407278736141	-0.006713668270275911	0.014383396781714427
2.0	1.1536094659583709	0.9968012742975069	0.07989706202707592	0.9936127804411335	0.006383540520558416	0.4813428639403719	0.8704655273116428	-0.46016697055925954	0.16223612911666555	0.48792848080886386	0.01162308282320879	-0.004954857645268861	0.012635136271526733
2.05	1.0439168059943016	0.996613655207557	0.08220237463499062	0.9932387777461672	0.00675723039563135	0.5232008113027652	0.845552933318738	-0.5032516401820455	0.16135754046326642	0.5284869621951649	0.010636266256114057	-0.0032195106529157333	0.011112848811856861
2.1	0.9402475468762909	0.9963796992502904	0.08498989744290031	0.992772505078099	0.007223282667354712	0.5639988585179615	0.8183683299470993	-0.544967004685335	0.1605918860268496	0.5681362425099868	0.009707968840516003	-0.0015263379927522595	0.009827225787400461
2.15	0.8425445148536354	0.9960995911853905	0.08821149020013772	0.992214395559702	0.007781267003328992	0.6035786437405154	0.7890294778279955	-0.585188009969906	0.1600012086217521	0.6066674490797741	0.008806398187801313	0.00011425838058215	0.008807139377780023
2.2	0.7507543883660416	0.9957755129223337	0.09179734404882754	0.9915688721357367	0.008426752374418813	0.6418057545290871	0.7576586895281422	-0.6238083697502821	0.15962358804902613	0.6439072697463121	0.007914192808127813	0.001697746558138646	0.008094244324203071
2.25	0.6648186044933948	0.9954117992878637	0.09566089834322718	0.9908446501615022	0.009151007471833244	0.6785615362552362	0.7243754267716511	-0.6607361828504563	0.15947377105687222	0.6797088987080362	0.00702361147608602	0.0032237203098113777	0.007728097489220592
2.3	0.5846689053869522	0.9950149610451605	0.09970440763788654	0.9900547727037023	0.009940968902421849	0.7137373656354353	0.689292336268059	-0.6958903618664181	0.1595445207617131	0.7139452709022303	0.0061328167635970226	0.00469436227117748	0.007723242750872929
2.35	0.5102263278907971	0.994593541890929	0.10382456880005059	0.989216313571143	0.010779541086516438	0.7472306387669284	0.652514662395073	-0.7291977803471085	0.15980888855591585	0.7465040413317445	0.005243233197941085	0.006113066431348851	0.008053637411882638
2.4	0.44140247825959	0.9941577934992462	0.10791782546057774	0.9883497183752897	0.01164625705213972	0.778942127829206	0.6141420722099025	-0.7605910911518702	0.16022335492030143	0.7772839451587235	0.0043578227260976194	0.007483298112162331	0.008659698005564927
2.45	0.3781021117012573	0.9937191742261314	0.11188514863686609	0.9874777972246646	0.012518286485493618	0.8087745475076066	0.5742716978039729	-0.7900071801451348	0.16073164601649564	0.8061922889187415	0.0034800528152291264	0.008807747523692804	0.009470331780772038
2.5	0.32022627604777026	0.9932896999005996	0.11563620705160368	0.9866244279286231	0.013371732381281358	0.8366322295312641	0.5330013782809053	-0.8173862078414869	0.16126896592193704	0.8331433803007843	0.002613334240930427	0.010087774821179332	0.010420782921529414
2.55	0.2676755178061029	0.9928811959183595	0.11909289267182292	0.9858130692082718	0.014183117084942335	0.8624217839284033	0.4904323916249426	-0.8426711705741613	0.161766364191546	0.8580577243406059	0.0017607475230133954	0.011323102098709056	0.011459182910556373
2.6	0.22035285055922446	0.9925045154166194	0.12219217970884	0.9850652131223786	0.014930928781997449	0.8860535658750285	0.44667125461201085	-0.8658078923141888	0.16215496893616096	0.8808618168272622	0.0009249303698769572	0.01251169129951057	0.012545832589484414
2.65	0.178166336625022	0.9921687960073926	0.12488829242396707	0.984398919770759	0.015597085584574311	0.9074436976004316	0.40183039758403244	-0.8867453442568675	0.16236984569797777	0.901488365068133	0.00010804633451991005	0.013649749270975222	0.013650176891560483
2.7	0.14103123455035024	0.9918808258085284	0.1271541547254127	0.9838275726066084	0.016168179063934193	0.9265163409146332	0.3560277027727643	-0.905436184158096	0.16235328412603098	0.9198767702520165	-0.0006882089980122414	0.01473181205507484	0.014747878425420836
2.75	0.10887172619046256	0.9916445782115348	0.12898210058774684	0.9833589694963328	0.016636382272027645	0.9432058962362595	0.3093850489660149	-0.9218374112444172	0.16205736222952266	0.9359737183396761	-0.001462583491690583	0.015750872912874234	0.015818632936751554
2.8	0.081622268387712	0.9914609554494854	0.13038384030802963	0.9829948261808066	0.016999945813469773	0.9574588281627119	0.26202613899633237	-0.9359110439709052	0.16144568815471957	0.9497337481897021	-0.0022142295635786736	0.016698529136476428	0.016844693166750708
2.85	0.05922862508168691	0.991327756514542	0.131389701039651	0.982730720836155	0.017263253539288866	0.9692348844729727	0.2140739947987538	-0.9476247447852404	0.1604942698212807	0.961119694717967	-0.002942646330148185	0.017565130578357586	0.017809912398972862
2.9	0.04164863322849268	0.9912398592122609	0.13204718636462123	0.9825564584911428	0.017436459426813013	0.9785075734857203	0.1656485776549788	-0.9569523358785001	0.15919151219664607	0.9701029381971651	-0.0036475945890496165	0.018339918580547527	0.018699132595582514
2.95	0.028852744915763725	0.9911895832217943	0.1324189238572576	0.9824567898873943	0.017534771395514185	0.9852638751963365	0.11686502921962783	-0.9638741702136444	0.15753738980523202	0.9766634247230144	-0.0043289767495069	0.019011148703852346	0.019497789996247218
3.0	0.020824371092156804	0.9911671844384454	0.13258008748790254	0.9824123875076353	0.017577479598299892	0.9895032637289188	0.06783314527104214	-0.9683773408046571	0.1555418876025579	0.9807894539516959	-0.004986677740285614	0.019566195407767845	0.020191655643369503
3.05	0.017560030125153756	0.9911614228072794	0.13261539107825407	0.9824009660613504	0.017586841950838268	0.991236194822531	0.01866261641585277	-0.9704557267139035	0.15322284556454063	0.9824772556729777	-0.005620370304162506	0.019991642198961917	0.020766663674438093
3.1	0.019069276126141087	0.9911601468731579	0.13261575032069114	0.9823984367496199	0.017586937233119892	0.9904822522209623	0.03057616007019901	-0.9701098857059653	0.15060337960968	0.9817303949121157	-0.006229298500327131	0.02027336636397001	0.021208808159204243
3.15	0.02537434533046861	0.9911508473110235	0.13267470758098998	0.9823800021253599	0.0176025780317012	0.9872681499330864	0.07973791200853765	-0.9673468109119349	0.14770908148618192	0.9785590556195278	-0.006812065352481746	0.020396631425491023	0.021504111417908207
3.2	0.03650940995485617	0.9911211464221503	0.132884711792989	0.9823211268851575	0.01765834662830575	0.9816257604531744	0.1287417061803058	-0.962179572957651	0.14456522023316962	0.9729792564685192	-0.007366461662717131	0.02034619961509083	0.021638682866695087
3.25	0.05251926234377399	0.9910592079233075	0.13333335206692878	0.9821983536095736	0.017777782773403583	0.9735902944510838	0.17747305194639873	-0.9546268711157214	0.14119417490748964	0.9650120507454811	-0.007889378848265224	0.020106467019276594	0.021598896143291954
3.3	0.07345716056641718	0.9909540681309648	0.13409966292043932	0.9819899651453088	0.017982719595375448	0.9631987089805969	0.22580913365527996	-0.9447125187215838	0.1376133201175072	0.9546827582516835	-0.008376844452335906	0.019661603340268664	0.021371714224383002
3.35	0.09938144126062942	0.9907959030802588	0.1352506502730573	0.9816765215606256	0.018292738399284855	0.9504883809619508	0.2736160860637658	-0.9324648907196407	0.13383356137085542	0.942020272910301	-0.008824201481910949	0.018995648932259645	0.020945195395388805
3.4	0.1303503381534278	0.9905762542492108	0.1368382211100311	0.9812413154823971	0.018724698756557762	0.9354960585798383	0.32075055627776433	-0.9179163655249112	0.129858676946073	0.9270564869934554	-0.009226423083639364	0.01809249330610677	0.020309239201649863
3.45	0.16641423239022993	0.9902882374292309	0.13889671934425388	0.9806707931906927	0.019292298644596428	0.9182570982661592	0.3670638865386593	-0.9011027992555385	0.1256855696975993	0.9098258719427457	-0.00957851963228254	0.016935645770990715	0.019456724699355176
3.5	0.20760431775298438	0.9899267549977833	0.1414412583529778	0.9799549802604413	0.020005629564473812	0.8988050071997846	0.4124079474384159	-0.8820630767902552	0.12130547084262164	0.8903652557759887	-0.009875968082426927	0.015507721591842731	0.01838543375977898
3.55	0.2539164457492879	0.9894887224655758	0.14446698824269608	0.9790879318865574	0.020870710691915286	0.8771713350106864	0.4566411922986817	-0.8608387894771999	0.11670607517689996	0.8687138363418457	-0.010115084499465769	0.01378960494278806	0.01710169988362261
3.6	0.3052888642838527	0.9889733074796327	0.14794935037539492	0.9780682029072042	0.021889010276501367	0.8533859855980848	0.49963343184868714	-0.8374740922247971	0.11187453138248386	0.8449134665276665	-0.010293273255100266	0.011759295944769706	0.01562794021683087
3.65	0.36157297429228297	0.9883821656969524	0.15184527499916584	0.9768993054677978	0.023056987539572298	0.8274780420932841	0.5412682574504483	-0.8120157926861802	0.10680117054557671	0.819009241462922	-0.010409112484214857	0.009390477283690742	0.014018940271095725
3.7	0.4224976129451002	0.9877196454523632	0.15609519636728894	0.9755900980125422	0.024365710328942494	0.7994772075773428	0.5814427835617032	-0.7845137238639197	0.10148383861717329	0.7910504108028205	-0.010462259025828358	0.00665082569295171	0.012397271728955267
3.75	0.4876304105048253	0.9869929240919194	0.16062571175776433	0.9741550322075174	0.02580061927768839	0.7694159563601509	0.6200651237784575	-0.7550214535108541	0.09593271122197879	0.7610916372842645	-0.01045316002798327	0.003500039627172923	0.011023558044588325
3.8	0.5563449028979114	0.9862120349462097	0.16535269950135476	0.972614177872744	0.027341515232385327	0.7373324644775802	0.6570505065916197	-0.7235973990058713	0.09017551793743078	0.7291946378597047	-0.010382528846159256	-0.0001125349683321824	0.010383138704670499
3.85	0.6278084406678925	0.9853897462535094	0.17018472658435807	0.9709929520215557	0.028962841162592713	0.7032743477309817	0.6923170880986139	-0.6903064631127637	0.0842631936219016	0.695430297596111	-0.010250466577551343	-0.004250912540714595	0.011096951044602376
3.9	0.701009809919281	0.9845412622240169	0.17502660326729874	0.9693214970216605	0.03063431185128839	0.6673031918795848	0.7257823902453662	-0.6552224178192051	0.07827611215866383	0.6598814791669187	-0.010054963706532092	-0.008996474825799728	0.013492177527401788
3.95	0.7748402931401522	0.9836837313468094	0.17978296725311055	0.9676336833163819	0.03232191531433302	0.629499832150754	0.757361011526212	-0.6184315048628969	0.07233124505565444	0.6226470390343861	-0.009789243888340807	-0.01445349816494196	0.017456600617227813
4.0	0.8482229809535152	0.982835566621316	0.18436179611273215	0.9659657510158433	0.03398927186591262	0.5899703602298535	0.786963936576327	-0.5800382207292067	0.06659080448393671	0.5838481589835852	-0.009436891929067373	-0.020756889934225007	0.022801390506335974
