time	rate	entropy	mz1	mz2	staggered_mz
0.0	-0.0	-0.0	1.0	-1.0	1.0
0.05	0.0012513003131837729	0.005233397482910694	0.9975005250509145	-0.9975005801549387	0.9975005526029266
0.1	0.005001718344566631	0.017422428453530828	0.9900347302518671	-0.9900347861779241	0.9900347582148956
0.15	0.01125267193220196	0.03451263530630209	0.9776838086951366	-0.9776838645857262	0.9776838366404315
0.2	0.02000345557537579	0.055338144023940106	0.9605854501907963	-0.9605855059369378	0.9605854780638671
0.25	0.031254258033404966	0.07904386886041895	0.9389249282971349	-0.938924984017063	0.9389249561570989
0.3	0.045001404135854725	0.10494137002465775	0.91293920569512	-0.9129392614108336	0.9129392335529768
0.35	0.061237431254746996	0.13246113154936456	0.8829097361354005	-0.8829097918446916	0.8829097639900461
0.4	0.07994868024594881	0.16112760969295986	0.8491583840620479	-0.8491584397620235	0.8491584119120357
0.45	0.10111211334975044	0.19054597417555008	0.8120427595984899	-0.8120428152958004	0.8120427874471452
0.5	0.12468887022422676	0.22039125438316629	0.7719548568574651	-0.7719549125752706	0.7719548847163679
0.55	0.15062568636704918	0.25041038562247886	0.7293041723976197	-0.7293042281589456	0.7293042002782826
0.6	0.178844650287199	0.28041106074688177	0.6845184182445672	-0.6845184740342996	0.6845184461394334
0.65	0.20923079065828876	0.3102519942768438	0.6380439664433322	-0.6380440225103619	0.638043994476847
0.7	0.24162796720862015	0.33984342437935916	0.5903298818039018	-0.590329937074365	0.5903299094391334
0.75	0.2758244324744442	0.3691370471124185	0.5418265358254464	-0.5418265911823414	0.5418265635038939
0.8	0.31154034312839873	0.39811922193993465	0.49297897398890567	-0.4929790293586762	0.49297900167379094
0.85	0.3484158820648646	0.42680416438988916	0.4442198444213583	-0.44421989964659214	0.4442198720339752
0.9	0.38600182348568657	0.4552276127171294	0.3959617739582905	-0.3959618290474202	0.39596180150285537
0.95	0.4237481193025779	0.4834355570943505	0.34860076576090177	-0.3486008209033093	0.34860079333210553
1.0	0.46101516946222426	0.5114824514677379	0.3025021699622169	-0.3025022255348076	0.3025021977485123
1.05	0.49708747880303444	0.539422446965554	0.25800338990403865	-0.2580034457257347	0.25800341781488667
1.1	0.5312129170118879	0.5673068195317027	0.21540632958108913	-0.21540638548754698	0.21540635753431805
1.15	0.5626524260735744	0.5951780003447844	0.1749800842696035	-0.17498014020588978	0.17498011223774662
1.2	0.5907485015131514	0.6230704187934555	0.136952139974536	-0.13695219561784647	0.13695216779619124
1.25	0.6149839665511476	0.6510064900657745	0.10151331843619633	-0.10151337379781791	0.10151334611700713
1.3	0.6350296727744904	0.6789983238057182	0.06881305367888078	-0.06881310859624963	0.06881308113756521
1.35	0.6507646228581333	0.7070472785517297	0.038961986824921066	-0.03896204130426406	0.038962014064592564
1.4	0.6622672649590302	0.7351459306282424	0.012031237091161603	-0.012031291889366635	0.012031264490264119
1.45	0.6697837510139789	0.7632799995591857	-0.011946383091402238	0.011946327804769601	-0.01194635544808592
1.5	0.6736804488010368	0.7914298983176414	-0.03297377773497295	0.03297372222853444	-0.032973749981753696
1.55	0.6744005679096906	0.8195738654276417	-0.05108895248473777	0.05108889667071172	-0.051088924577724744
1.6	0.6724195978629626	0.847689191073728	-0.06636084838675843	0.06636079233976179	-0.0663608203632601
1.65	0.6682143717455986	0.8757544188852808	-0.07888709982703306	0.07888704360450899	-0.07888707171577103
1.7	0.6622410834741919	0.9037508595920292	-0.08879082961854616	0.08879077324127331	-0.08879080142990974
1.75	0.6549220517807866	0.9316636511931853	-0.09621725558508175	0.09621719905895963	-0.09621722732202069
1.8	0.6466392020510365	0.959482388003771	-0.10133020563477954	0.10133014897001433	-0.10133017730239693
1.85	0.6377320964460391	0.9872012968767989	-0.10430856374367904	0.10430850696153793	-0.10430853535260848
1.9	0.6284988155054312	1.0148190161174866	-0.10534271926932887	0.10534266240105328	-0.10534269083519107
1.95	0.6191984551079995	1.0423380488748166	-0.104631072615726	0.10463101569799864	-0.10463104415686232
2.0	0.6100544059884522	1.0697639807559352	-0.10237664903996545	0.10237659210971657	-0.10237662057484101
