time	rate	entropy	mz
0.0	-0.0	-0.0	0.5
0.05	0.0006888083340155088	3.2231318943909003e-9	0.4993114285791891
0.1	0.002752173515643689	1.6940359696616825e-7	0.49725159330971075
0.15	0.006180842695574364	1.6760717462179445e-6	0.49383802700045426
0.2	0.010959151018073784	8.373510514377364e-6	0.48909960678987546
0.25	0.01706466048360757	2.8751130812175385e-5	0.48307604830547807
0.3	0.024467663382346027	7.781503392417013e-5	0.47581721799639215
0.35	0.033130561864877846	0.00017858713911771674	0.4673822831476498
0.4	0.0430071421804813	0.00036302367527401555	0.4578387232894123
0.45	0.0540417718051546	0.0006722343692693639	0.4472612299933674
0.5	0.06616856054275068	0.0011559636297955795	0.4357305242998761
0.55	0.0793105428394244	0.0018713676313344358	0.4233321221923087
0.6	0.09337895755575025	0.002881182117852834	0.4101550786303281
0.65	0.10827272193346228	0.0042514214732932544	0.39629073972102935
0.7	0.1238782158451992	0.006048778127970916	0.381831530739226
0.75	0.14006950646115687	0.008337902381862217	0.3668698050346388
0.8	0.15670914654039422	0.011178737567106776	0.3514967755404465
0.85	0.17364966512134442	0.01462406682597072	0.3358015467973828
0.9	0.1907358319265758	0.018717399222309354	0.31987026131013363
0.95	0.2078077141177607	0.023491288390512885	0.30378536983555166
1.0	0.22470445200359493	0.02896614030989799	0.287625031031734
1.05	0.24126857489680928	0.035149531424495443	0.2714626419216016
1.1	0.25735058733838595	0.04203602680923268	0.2553664969693996
1.15	0.27281347547753326	0.04960746215507516	0.2393995703340804
1.2	0.28753675319530253	0.05783363387891336	0.2236194131203195
1.25	0.30141969941250013	0.06667332880148263	0.20807815523977735
1.3	0.3143835261560148	0.07607561814549589	0.19282259984016079
1.35	0.3263723439213224	0.08598133926385906	0.17789439715170144
1.4	0.33735292990588284	0.0963246914822121	0.16333028401382388
1.45	0.34731343093798356	0.1070348786362982	0.14916237523665765
1.5	0.35626122466441107	0.11803773925635759	0.13541849326843322
1.55	0.36422020827099044	0.1292573149694465	0.12212252331807859
1.6	0.37122778597635736	0.14061731778405478	0.10929478205540603
1.65	0.37733179525284877	0.15204246688350118	0.0969523892107874
1.7	0.3825875604907811	0.16345967493777633	0.08510963275539046
1.75	0.38705520283977474	0.17479907244008608	0.07377831979877578
1.8	0.390797273992958	0.1859948659953697	0.06296810683633491
1.85	0.3938767900885091	0.19698603273191487	0.052686804469384514
1.9	0.39635578822592493	0.20771685800914658	0.04294065314126581
1.95	0.39829400840378665	0.21813732751386675	0.033734567766843034
2.0	0.3997477738332609	0.2282033872175817	0.025072350322115092
2.05	0.400769402962063	0.23787708641363114	0.016956870641876107
2.1	0.4014068287342705	0.24712661919324683	0.009390216497922545
2.15	0.40170334842137506	0.25592627963527614	0.0023738148015212124
2.2	0.40169751974904405	0.2642563460049804	-0.004091473601334549
2.25	0.4014231788948344	0.2721029077563516	-0.010005282651408513
2.3	0.40090955140251067	0.27945764630955033	-0.015367690148210988
2.35	0.40018143037980297	0.2863175774692795	-0.020179183874427565
2.4	0.39925940094258056	0.29268476005860883	-0.024440641475424837
2.45	0.3981600969140711	0.2985659727451013	-0.028153320914446528
2.5	0.39689648439225356	0.30397236185563514	-0.03131885854244145
2.55	0.3954781734525699	0.3089190683049408	-0.033939272122327564
2.6	0.39391176196632505	0.3134248447990337	-0.03601696651252495
2.65	0.3922012143406715	0.3175116686365037	-0.037554740125313756
2.7	0.3903482694467335	0.3212043480165195	-0.03855579071379328
2.75	0.38835285083430326	0.32453011913398977	-0.039023719489605105
2.8	0.38621342314293283	0.32751823451762924	-0.03896253301594977
2.85	0.38392722083584624	0.330199545392697	-0.03837664274197472
2.9	0.3814902940746709	0.3326060818131981	-0.03727086243203901
2.95	0.3788973863103196	0.33477063473185686	-0.035650404085385716
3.0	0.37614176750322464	0.3367263444155743	-0.033520873229233916
3.05	0.37321524956454755	0.33850629965534923	-0.030888264694040112
3.1	0.3701086364243751	0.3401431519872605	-0.027758960138255934
3.15	0.3668127527349991	0.34166874860428353	-0.02413972867827341
3.2	0.3633199476018367	0.34311378683082266	-0.020037731996707192
3.25	0.3596256499615556	0.34450749204694814	-0.015460535249525195
3.3	0.3557292980746482	0.34587731992208987	-0.010416124972483187
3.35	0.3516339445082355	0.3472486829053106	-0.004912935004671332
3.4	0.3473441611723976	0.3486447002910463	0.001040118792305557
3.45	0.3428625035046238	0.350085971011817	0.007433594530794313
3.5	0.33818552514303796	0.3515903687725619	0.014257470852052706
3.55	0.33330083217661804	0.3531728603466045	0.021501084239250567
3.6	0.32818665402705144	0.3548453497538064	0.02915305764975519
3.65	0.322814838916691	0.3566165533755923	0.03720122139335092
3.7	0.3171571947495245	0.35849191341997666	0.04563252756761554
3.75	0.3111938475411802	0.3604735590173822	0.05443295974527048
3.8	0.30492111247627685	0.36256032503455055	0.06358743993844244
3.85	0.2983559549285809	0.36474783802551375	0.07307973513139392
3.9	0.2915349399515105	0.3670286764255618	0.08289236589409044
3.95	0.2845073687044412	0.36939260822986564	0.09300651975566153
4.0	0.277324285320055	0.3718269044352614	0.1034019721100611
