time	rate	entropy	mx	mz
0.0	8.881784197001254e-16	0.0029201725166051406	-0.2586579037790938	0.964678630737055
0.05	0.005597851123952283	0.002395279308451844	-0.27295295308963263	0.9502915147108835
0.1	0.022058102096653633	0.001077029414293295	-0.3133112097695326	0.9081140938379996
0.15	0.048361974038695146	0.0005191693825746832	-0.3726753753520938	0.8409283989579779
0.2	0.08276863656918193	0.004359578902741992	-0.44097715031976015	0.7528617312557101
0.25	0.1228563422748255	0.01564860255830646	-0.5071322507784223	0.6487806370494348
0.3	0.16571329472913568	0.0365319503367212	-0.5613034314377895	0.533681408341986
0.35	0.20838585607193258	0.06741694174903762	-0.5966521017592479	0.41222865267921355
0.4	0.24848717643242943	0.10661211021163175	-0.6104074939845259	0.2885116192318312
0.45	0.2847264107850657	0.15079021072428644	-0.6039421275748678	0.16599796904492034
0.5	0.3170584072340769	0.19593215220658536	-0.5819526356762681	0.04761292887411575
