time	rate	entropy	mz1	mz2	staggered_mz
0.0	-0.0	-0.0	1.0	-1.0	1.0
0.05	0.0012513003131842172	0.005233397482910694	0.9975005250509129	-0.9975005801549394	0.9975005526029261
0.1	0.005001718344568189	0.017422428453530828	0.9900347302518646	-0.990034786177925	0.9900347582148947
0.15	0.011252671932202406	0.03451263530630209	0.9776838086951368	-0.9776838645857271	0.9776838366404319
0.2	0.02000345557537579	0.055338144023940106	0.9605854501907963	-0.9605855059369389	0.9605854780638676
0.25	0.03125425803340249	0.07904386886041895	0.938924928297133	-0.9389249840170637	0.9389249561570984
0.3	0.04500140413585654	0.10494137002465775	0.91293920569512	-0.9129392614108333	0.9129392335529767
0.35	0.06123743125474768	0.13246113154936456	0.8829097361354017	-0.8829097918446921	0.882909763990047
0.4	0.07994868024594742	0.16112760969295986	0.8491583840620465	-0.8491584397620243	0.8491584119120354
0.45	0.1011121133497481	0.19054597417555008	0.8120427595984893	-0.8120428152958019	0.8120427874471456
0.5	0.12468887022423031	0.22039125438316629	0.7719548568574656	-0.7719549125752732	0.7719548847163693
