time	rate	entropy	mx	mz
0.0	-6.661338147750928e-15	0.0029201739296681583	-0.2586579046112918	-0.9646786299606476
0.05	0.005598734879747158	0.0023943449755544	-0.2729488293449721	-0.9502913101935202
0.1	0.022059831173724034	0.0010751729260276043	-0.3133086823862134	-0.9081116408366383
0.15	0.048361778166653505	0.0005172304753276663	-0.37268816623673995	-0.8409236765977826
0.2	0.08276667282541865	0.004361566983410834	-0.4409865320515981	-0.7528571200229957
0.25	0.12285105595954389	0.015651951659331496	-0.5071404337903153	-0.6487784628454386
0.3	0.1657039996908525	0.036535688811336973	-0.5613013077880927	-0.5336841187455147
0.35	0.20837004506447313	0.06741971559534782	-0.5966445542047586	-0.4122398304437154
0.4	0.24846577761710836	0.10660755815168949	-0.610400421865045	-0.2885367248315881
0.45	0.28469704956186925	0.15078252688768587	-0.6039403149296613	-0.16603769946371474
0.5	0.3170224254617831	0.1959162563358252	-0.5819736535888833	-0.04766967425305111
0.55	0.3463612529697164	0.23827464537900117	-0.5511333773491891	0.06406733440945885
0.6	0.3740807856183664	0.275160487080914	-0.5183151891714071	0.16701536766719804
0.65	0.4015141861318939	0.3052667860467197	-0.4891828122152604	0.2593812399112478
0.7	0.4296096137026578	0.32871293380920763	-0.4671876592695373	0.3397842979655482
0.75	0.4587929829632458	0.3467309364441597	-0.4532773322663538	0.40734518188159846
0.8	0.4576749901793411	0.3611964303548996	-0.44628517420740077	0.4617052927620621
0.85	0.4520064166714763	0.3741198026039639	-0.44372082744799657	0.502985755636712
0.9	0.41299429950936667	0.3871681403686164	-0.4428299562987852	0.531663325759914
0.95	0.4319656989267776	0.4013782782489372	-0.441467412593368	0.5484301029646762
1.0	0.43747943733151884	0.41710270405131666	-0.4386488614022669	0.5540555722936268
1.05	0.5250565283016398	0.43415545405436146	-0.43465072430015855	0.5493110283637278
1.1	0.49175335227149947	0.4520886156256015	-0.43069268895723517	0.5349608406756975
1.15	0.5060362285998976	0.47049087070496415	-0.4283550549854668	0.5117963860779738
1.2	0.5540777466390949	0.48919205597150706	-0.42895963117176295	0.4806979085245883
1.25	0.5864988009379188	0.5083566992137879	-0.4330920914355116	0.44268671786030805
1.3	0.5274110038958236	0.5284448123756424	-0.4404200568082048	0.39893202038501974
1.35	0.476945568160572	0.550044607688997	-0.449810323324764	0.3507359210708825
1.4	0.43346974416371226	0.5736794414067896	-0.4596832118636959	0.29942316076302866
1.45	0.3955609136224736	0.5995995993746075	-0.46849933772364216	0.24630938199142718
1.5	0.3620318686442045	0.6276975328606244	-0.4751655018854156	0.19261462360135115
1.55	0.33201684585813024	0.657487200057541	-0.47929593902642453	0.1394508967868896
1.6	0.3049510949105272	0.6882573795193098	-0.48120332694870366	0.08779052661339345
1.65	0.2805094430960995	0.7192513086458554	-0.48168593194032727	0.03847639875823972
1.7	0.25850759559031206	0.7498360651751841	-0.48169450126910135	-0.007765714700550261
1.75	0.2388258245088255	0.7796249235000655	-0.4819899424389512	-0.05032271093054823
1.8	0.2213182158097046	0.8085080292844493	-0.48289871380963073	-0.08869931615613029
1.85	0.20578771653092875	0.8365953615380451	-0.48424514551594133	-0.12252503694263862
1.9	0.1919852873329886	0.8641139090148314	-0.48546526417040564	-0.15154313226720625
1.95	0.179651697147045	0.8912615089697851	-0.48585142285128735	-0.17561186340087354
2.0	0.16857668722105873	0.9181208392581828	-0.48482152496188424	-0.19469151417979336
