time	rate	mx	s1	s2	s3	s4	lambda1	lambda2	lambda3	lambda4	o11	ood	tf1_re	tf1_im	tf1_abs	tf2_re	tf2_im	tf2_abs	I12	I13	I12_3	I12_4
0.0	2.220446049250313e-16	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.9999999999999998	0.0	0.9999999999999998	0.0	0.9999999999999998	0.0	0.0	0.0	-2.2204460492503126e-16	-2.2204460492503126e-16	2.2204460492503126e-16	2.2204460492503126e-16
0.05	0.0012538519975355752	0.9950390163466771	0.9993833769181701	0.03511219075527288	0.0	0.0	0.9987671340603653	0.0012328659396346703	0.0	0.0	0.9993725886327928	0.005391660406678967	0.9983049735569204	-0.030024583823030346	0.9987563746290833	3.476579712031439e-5	-0.0022768170032664735	0.0022770824155073383	0.01541578656586054	0.0006923324496269923	0.017197899997922927	0.0010014308986965245
0.1	0.00496142931525589	0.9804836567973174	0.9975420027125603	0.07007077776420129	0.00019730112565129136	0.0	0.9950900471757858	0.004909913896480086	3.892773418326666e-8	0.0	0.9975192399530024	0.010337633510949492	0.9932614742699266	-0.05992474948414472	0.9950675011624114	0.00021897784953207934	-0.00903946327710855	0.00904211521917188	0.04682300695812368	0.0030171058805585904	0.054399247602507826	0.004318363813784809
0.15000000000000002	0.0110438462877113	0.9569497955185938	0.9944570102893029	0.1051399099465309	0.000744308371799398	0.0005477480666928834	0.9889447453135387	0.011054400663564628	5.539949523306709e-7	3.000279445657915e-7	0.9944839521424139	0.015284829609675102	0.9849042532627268	-0.08960579491318994	0.9889719847280984	0.0006292180106832457	-0.02009500860487334	0.020104857277158217	0.08456610517847479	0.00740965900832527	0.10297083436406504	0.010610827273600826
0.2	0.019356559831031617	0.925473104016466	0.9901086724111213	0.14028223558887434	0.0019216021765511072	0.0014207731232530139	0.9803151831837131	0.019679105621812444	3.6925549249259527e-6	2.018596267758124e-6	0.9903437700418976	0.020144967028543546	0.9733086237579441	-0.11893774382369146	0.9805487565580068	0.0013277727283552722	-0.0351883226471429	0.035213364382540815	0.12239857112872074	0.01380911687492048	0.15748866327218783	0.02016431297126059
0.25	0.029711246612683727	0.8873578684825869	0.9844711095139123	0.17548324331100296	0.003846178716483515	0.002733549972582407	0.9691833654675535	0.030794368682948665	1.4793090719130777e-5	7.472295452605278e-6	0.985194437652292	0.024876728079500383	0.958573701117463	-0.14776924685863066	0.9698965361270233	0.0023092917272706016	-0.053974879609174506	0.05402425804309137	0.15588791756896347	0.02168427153150254	0.21376728758389585	0.032756422067038216
0.3	0.04187204210307759	0.8441238523721033	0.9775232404959647	0.21067499356894012	0.006598869724843894	0.004562029295591683	0.9555516857097317	0.04438395291527296	4.354508164546133e-5	2.0812111293836743e-5	0.9791489677577383	0.02946198213223779	0.9408347498805673	-0.17592849813008216	0.9571420286650962	0.0035061957858667204	-0.07604453016686877	0.0761253175834994	0.18213711003158067	0.030202808151275184	0.26830380963443395	0.04762687672496624
0.35	0.05558826891239732	0.7973294317193809	0.9692435789979473	0.24579250190616847	0.010245038806307385	0.006924475847566984	0.9394331154287502	0.06041395399329383	0.00010496082014274426	4.79483657635385e-5	0.9723196176817162	0.03390317719265978	0.9202434510577405	-0.203222365581277	0.9424156933578252	0.004784592582368162	-0.1009625532928647	0.10107586009326756	0.19975840979974996	0.038551897699562465	0.31823896309085764	0.06366154320041462
0.39999999999999997	0.07059069877250873	0.7485417745647253	0.959624833213577	0.28072148649841516	0.014811836784384743	0.009805731724496126	0.9208798205201856	0.07880455298187988	0.00021939050892725296	9.615237465278977e-5	0.9648194093044099	0.03821368044602463	0.8969856021608551	-0.22944532445926108	0.9258662578364585	0.005954134643865758	-0.12826906188284287	0.12840718031193527	0.2086427373293619	0.04616351513948669	0.36125293378706014	0.07963500984167982
0.44999999999999996	0.08662306795473648	0.6992082972260272	0.9486709552439856	0.3153380340044762	0.020292410136423706	0.013163974387981175	0.8999765813235361	0.09943807568980818	0.0004117819091448316	0.00017329022168742435	0.9567488608307578	0.04241766158117829	0.8712665265527234	-0.25438481862890877	0.9076436504708829	0.006784774395249743	-0.15750865122000565	0.1576547124977234	0.20971359520903088	0.052770848974493134	0.3956794429186341	0.09449140291478442
